21.2.1.12. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;III.;4 080 729;817 629;145 927;5 044 371;874 971;5 919 333;2 062 091;x;x;2 347 927;8 256 636;5 997 884;1 752 700;7 750 583;5 803 796;1 218 544;7 022 197;x;x;x;8 987 002
;IV.;4 379 044;858 120;154 934;5 392 987;984 479;6 377 570;2 478 679;x;x;2 478 475;8 846 281;6 373 083;1 597 536;7 970 619;6 034 783;1 367 705;7 401 695;x;x;x;9 411 771
2016.;I.;4 148 510;829 138;146 095;5 123 743;882 293;6 006 036;1 153 347;x;x;1 344 123;7 350 159;5 960 944;1 560 393;7 521 337;5 729 759;1 130 913;6 860 672;x;x;x;8 010 824
;II.;4 336 926;855 274;149 688;5 341 888;905 532;6 247 420;1 705 649;x;x;1 835 948;8 083 368;6 382 747;1 779 596;8 162 343;6 093 715;1 234 520;7 328 235;x;x;x;8 917 476
;III.;4 257 423;816 234;152 445;5 226 102;859 308;6 085 410;1 965 427;x;x;2 301 616;8 387 026;6 120 202;1 943 480;8 063 682;5 966 031;1 273 460;7 239 491;x;x;x;9 211 217
;IV.;4 605 353;858 121;159 466;5 622 940;938 084;6 561 024;2 107 099;x;x;2 453 652;9 014 676;6 253 761;1 766 912;8 020 673;6 136 251;1 303 817;7 440 068;x;x;x;9 595 281
2017.;I.;4 305 399;820 511;163 806;5 289 520;837 458;6 125 844;1 401 034;x;x;1 670 614;7 803 929;6 497 427;1 694 578;8 194 977;6 427 981;1 195 368;7 621 430;x;x;x;8 385 604
;II.;4 545 134;850 554;162 765;5 557 733;930 217;6 487 850;2 149 085;x;x;1 928 210;8 419 758;6 689 489;1 890 227;8 580 050;6 491 417;1 266 596;7 756 935;x;x;x;9 242 917
;III.;4 454 539;848 202;187 615;5 490 330;899 009;6 388 807;2 363 636;x;x;2 588 544;8 962 695;6 394 045;2 079 921;8 469 172;6 484 006;1 352 574;7 836 769;x;x;x;9 599 284
;IV.;4 852 607;895 035;182 194;5 928 824;1 054 109;6 984 167;2 381 672;x;x;2 546 679;9 522 333;6 661 971;1 919 345;8 580 958;6 695 023;1 382 275;8 077 286;x;x;x;10 033 575
2018.;I.;4 520 709;825 571;189 686;5 534 019;918 767;6 452 412;1 551 536;x;x;1 767 671;8 223 879;6 734 750;1 836 356;8 573 556;6 781 203;1 219 392;7 998 724;x;x;x;8 806 018
;II.;4 774 370;841 403;189 378;5 801 261;991 600;6 793 620;2 479 144;x;x;2 268 686;9 059 416;7 044 647;2 075 455;9 118 554;7 102 540;1 342 425;8 443 572;x;x;x;9 739 437
;III.;4 668 122;841 795;205 332;5 712 603;928 604;6 640 019;2 830 712;x;x;3 147 283;9 768 764;6 427 293;2 244 558;8 661 106;6 867 018;1 457 854;8 324 917;x;x;x;10 129 703
;IV.;5 066 979;880 233;201 865;6 144 185;1 036 501;7 180 935;2 783 292;x;x;2 941 746;10 110 439;7 083 849;2 075 378;9 157 978;7 294 540;1 410 866;8 704 256;x;x;x;10 584 300
2019.;I.;4 735 724;843 835;195 107;5 771 380;941 139;6 711 184;1 887 977;x;x;2 096 268;8 788 572;7 172 969;1 967 532;9 145 005;7 287 081;1 383 452;8 669 750;x;x;x;9 272 931
;II.;5 009 891;870 335;193 253;6 068 041;1 015 666;7 083 649;2 832 717;x;x;2 609 802;9 684 522;7 222 407;2 196 499;9 415 290;7 425 010;1 490 664;8 913 844;x;x;x;10 201 855
;III.;4 916 436;832 563;206 489;5 948 237;1 018 244;6 967 587;3 248 405;x;x;3 399 205;10 381 055;7 069 849;2 440 608;9 495 925;7 587 930;1 697 034;9 280 880;x;x;x;10 638 806
;IV.;5 344 063;905 036;206 088;6 447 327;1 264 989;7 721 810;2 908 380;x;x;3 240 281;10 963 307;7 141 569;2 245 287;9 380 505;7 659 071;1 698 545;9 353 677;x;x;x;11 053 010
2020.;I.;5 012 177;846 552;201 300;6 052 453;931 738;6 977 525;1 813 220;x;x;2 237 597;9 201 092;7 263 054;1 888 609;9 163 104;7 509 585;1 419 130;8 927 909;x;x;x;9 469 057
;II.;4 691 850;746 153;200 487;5 627 292;1 128 223;6 767 783;2 527 671;x;x;2 348 367;9 106 161;5 781 623;1 362 736;7 159 950;6 270 563;1 199 695;7 469 405;x;x;x;8 890 520
;III.;4 833 273;817 012;213 350;5 856 330;1 018 550;6 876 680;2 810 375;x;x;3 003 885;9 882 971;7 286 993;1 817 202;9 119 252;7 529 975;1 311 673;8 842 200;x;x;x;10 195 636
;IV.;5 200 752;840 481;212 774;6 242 803;1 325 689;7 587 323;2 950 610;x;x;2 988 825;10 572 188;7 924 116;1 741 677;9 692 971;8 146 140;1 436 011;9 582 540;x;x;x;10 739 435
2021.;I.;4 746 463;845 402;205 574;5 801 505;1 075 624;6 883 581;1 753 478;x;x;1 895 291;8 760 104;8 087 643;1 536 543;9 667 395;7 887 510;1 297 656;9 188 859;x;x;x;9 257 670
;II.;5 174 231;782 195;204 560;6 136 829;1 103 592;7 245 637;2 769 472;x;x;2 937 057;10 180 140;7 936 267;1 783 222;9 746 285;8 191 437;1 302 137;9 498 678;x;x;x;10 470 399
;III.;5 182 682;803 044;213 542;6 179 223;1 090 892;7 274 411;3 143 329;x;x;3 598 373;10 882 081;7 279 014;2 100 700;9 377 939;7 989 048;1 531 913;9 518 636;x;x;x;10 826 634
;IV.;5 630 199;841 630;217 937;6 661 456;1 269 580;7 940 068;2 956 626;x;x;3 383 706;11 323 992;7 872 296;2 063 287;9 945 483;8 144 786;1 642 734;9 782 891;x;x;x;11 536 669
2022.;I.;5 346 008;878 000;201 279;6 416 717;1 133 555;7 554 711;1 939 220;x;x;2 280 195;9 782 130;8 251 836;1 880 644;10 161 933;8 457 019;1 499 486;9 958 643;x;x;x;10 016 290
;II.;5 680 378;838 358;216 074;6 700 916;1 100 901;7 802 444;2 941 753;x;x;2 999 108;10 789 117;8 288 529;2 195 143;10 486 465;8 526 248;1 645 697;10 160 686;x;x;x;11 148 976
;III.;5 394 644;843 556;221 701;6 440 018;1 085 301;7 527 241;3 272 816;x;x;3 477 618;11 031 025;8 274 625;2 445 300;10 700 498;8 739 581;1 807 646;10 523 591;x;x;x;11 258 665
;IV.;;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;16 421 030;2 559 914;639 054;19 557 651;3 319 757;22 884 396;8 153 789;x;x;8 756 921;31 602 272;24 814 990;6 521 087;31 348 896;25 722 848;4 952 829;30 642 920;x;x;x;32 423 931
