22.1.2.3. A 15 éves és annál idõsebb népesség nem, családi állapot, megye és régió szerint, január 1.;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001, Nõtlen, hajadon;2001, Házas;2001, Özvegy;2001, Elvált;2001, Összesen;2012, Nõtlen, hajadon;2012, Házas;2012, Özvegy;2012, Elvált;2012, Összesen;2022, Nõtlen, hajadon;2022, Házas;2022, Özvegy;2022, Elvált;2022, Összesen
Jász-Nagykun-Szolnok;megye;37 771;93 400;34 653;16 389;182 213;46 474;72 503;34 241;21 417;174 635;45 016;64 098;29 245;22 251;160 610
Szabolcs-Szatmár-Bereg;megye;50 591;133 827;47 067;15 954;247 439;64 827;111 554;47 706;23 097;247 184;63 553;105 072;41 086;25 336;235 047
Észak-Alföld;régió;140 008;350 067;122 500;54 298;666 873;177 706;288 065;123 934;74 397;664 102;174 671;267 811;107 363;78 152;627 997
Bács-Kiskun ;megye;50 937;118 816;47 528;23 921;241 202;62 765;96 665;46 228;31 175;236 833;61 533;90 066;39 205;32 177;222 981
Békés;megye;36 489;88 333;33 372;18 265;176 459;43 564;67 026;32 513;22 285;165 388;39 810;58 925;27 052;21 943;147 730
Csongrád-Csanád;megye;44 795;90 672;34 894;22 256;192 617;54 278;74 524;33 917;27 148;189 867;54 663;69 367;29 214;26 853;180 097
Dél-Alföld;régió;132 221;297 821;115 794;64 442;610 278;160 607;238 215;112 658;80 608;592 088;156 006;218 358;95 471;80 973;550 808
Alföld és Észak;nagyrégió;381 272;941 509;355 742;167 651;1 846 174;474 263;752 377;349 857;219 793;1 796 290;463 277;685 642;296 492;225 241;1 670 652
Ország összesen;ország;996 857;2 240 007;836 694;449 429;4 522 987;1 231 761;1 877 352;818 088;579 306;4 506 507;1 281 015;1 770 096;707 884;599 174;4 358 169
Összesen;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;461 770;712 676;177 295;180 922;1 532 663;539 197;604 109;155 958;210 049;1 509 313;601 455;554 888;132 742;194 496;1 483 581
Pest ;megye, régió;236 741;473 714;95 943;75 736;882 134;326 476;471 360;103 697;110 999;1 012 532;372 690;507 915;98 710;121 032;1 100 347
Közép-Magyarország;nagyrégió;698 511;1 186 390;273 238;256 658;2 414 797;865 673;1 075 469;259 655;321 048;2 521 845;974 145;1 062 803;231 452;315 528;2 583 928
Fejér;megye;96 209;188 485;37 596;31 407;353 697;119 291;161 189;39 305;41 395;361 180;121 167;156 900;35 808;43 201;357 076
Komárom-Esztergom;megye;70 361;138 690;29 632;24 527;263 210;85 800;112 960;29 770;31 311;259 841;87 984;108 404;26 428;31 554;254 370
Veszprém;megye;86 167;168 846;34 036;24 037;313 086;99 249;138 781;34 374;32 709;305 113;95 900;129 951;30 764;35 482;292 097
Közép-Dunántúl;régió;252 737;496 021;101 264;79 971;929 993;304 340;412 930;103 449;105 415;926 134;305 051;395 255;93 000;110 237;903 543
Gyõr-Moson-Sopron;megye;101 671;201 004;38 249;23 997;364 921;120 942;184 295;39 860;36 298;381 395;138 826;186 990;37 288;44 038;407 142
Vas;megye;61 733;124 961;25 663;13 361;225 718;71 032;105 177;25 773;20 177;222 159;74 544;97 786;23 111;24 114;219 555
Zala;megye;69 234;136 152;30 975;17 180;253 541;77 838;113 599;30 450;24 849;246 736;75 070;101 732;26 575;27 449;230 826
Nyugat-Dunántúl;régió;232 638;462 117;94 887;54 538;844 180;269 812;403 071;96 083;81 324;850 290;288 440;386 508;86 974;95 601;857 523
Baranya;megye;92 436;178 430;39 448;31 925;342 239;105 055;143 758;38 779;40 101;327 693;103 343;128 483;33 944;40 394;306 164
Somogy;megye;73 989;147 994;35 515;23 642;281 140;88 415;119 381;34 795;31 320;273 911;87 135;108 245;30 097;33 090;258 567
Tolna ;megye;52 118;114 204;25 452;17 285;209 059;61 944;89 941;24 764;22 832;199 481;57 340;80 539;21 218;22 539;181 636
Dél-Dunántúl;régió;218 543;440 628;100 415;72 852;832 438;255 414;353 080;98 338;94 253;801 085;247 818;317 267;85 259;96 023;746 367
Dunántúl;nagyrégió;703 918;1 398 766;296 566;207 361;2 606 611;829 566;1 169 081;297 870;280 992;2 577 509;841 309;1 099 030;265 233;301 861;2 507 433
Borsod-Abaúj-Zemplén;megye;156 068;329 738;76 233;48 827;610 866;188 277;251 602;73 837;64 327;578 043;180 632;221 893;61 182;62 726;526 433
Heves;megye;65 228;151 544;36 265;21 193;274 230;79 255;120 900;35 245;28 888;264 288;79 878;107 958;29 924;30 446;248 206
Nógrád ;megye;42 732;102 482;24 531;14 806;184 551;51 650;78 943;23 125;19 987;173 705;51 045;68 674;19 567;20 499;159 785
Észak-Magyarország;régió;264 028;583 764;137 029;84 826;1 069 647;319 182;451 445;132 207;113 202;1 016 036;311 555;398 525;110 673;113 671;934 424
Hajdú-Bihar;megye;120 136;244 454;48 498;37 332;450 420;151 323;207 383;49 819;51 124;459 649;151 968;196 834;44 282;51 789;444 873
Jász-Nagykun-Szolnok;megye;90 595;185 938;41 367;28 647;346 547;108 948;144 721;40 980;37 611;332 260;106 007;127 580;35 440;38 239;307 266
Szabolcs-Szatmár-Bereg;megye;120 564;266 471;54 823;27 684;469 542;149 896;222 811;55 494;40 555;468 756;149 601;211 475;48 469;44 263;453 808
Észak-Alföld;régió;331 295;696 863;144 688;93 663;1 266 509;410 167;574 915;146 293;129 290;1 260 665;407 576;535 889;128 191;134 291;1 205 947
Bács-Kiskun ;megye;120 540;236 898;55 665;40 975;454 078;145 440;193 321;54 262;53 617;446 640;144 243;179 835;46 786;54 429;425 293
Békés;megye;86 975;175 867;40 426;31 940;335 208;101 618;133 664;39 215;38 819;313 316;93 736;117 282;32 816;37 508;281 342
Csongrád-Csanád;megye;101 662;180 890;41 795;37 104;361 451;121 153;148 428;40 578;45 465;355 624;122 564;138 352;35 368;44 191;340 475
Dél-Alföld;régió;309 177;593 655;137 886;110 019;1 150 737;368 211;475 413;134 055;137 901;1 115 580;360 543;435 469;114 970;136 128;1 047 110
Alföld és Észak;nagyrégió;904 500;1 874 282;419 603;288 508;3 486 893;1 097 560;1 501 773;412 555;380 393;3 392 281;1 079 674;1 369 883;353 834;384 090;3 187 481
Ország összesen;ország;2 306 929;4 459 438;989 407;752 527;8 508 301;2 792 799;3 746 323;970 080;982 433;8 491 635;2 895 128;3 531 716;850 519;1 001 479;8 278 842
