21.2.1.4. A bruttó hazai termék (GDP) termelése elõzõ évi átlagáron nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;395 287;2 324 449;2 053 401;552 636;6 259 521;1 315 995;1 150 625;165 370;635 877;516 310;285 524;803 198;969 972;1 436 997;675 292;400 289;361 417;295 647;1 624 319;11 156 211
2019.;I.;231 223;2 171 090;1 888 719;319 671;5 842 612;941 585;787 848;153 736;510 351;451 609;370 842;867 104;880 397;1 569 226;720 616;404 205;444 405;251 499;1 683 111;10 247 707
;II.;345 298;2 408 269;2 143 675;504 277;6 269 185;1 166 789;987 770;179 019;554 065;463 643;382 102;878 006;985 819;1 564 679;724 037;410 237;430 405;274 083;1 747 250;11 274 280
;III.;525 017;2 281 957;2 008 321;621 690;6 481 048;1 262 685;1 057 262;205 424;622 283;498 597;376 034;880 968;997 976;1 539 064;725 950;410 464;402 649;303 441;1 847 451;11 757 163
;IV.;381 832;2 440 344;2 128 159;653 129;6 869 273;1 451 272;1 257 884;193 388;682 161;566 212;333 374;907 898;1 040 636;1 558 497;710 095;433 401;415 000;329 223;1 870 330;12 214 909
2020.;I.;226 519;2 166 455;1 880 697;355 014;6 403 989;1 041 569;889 537;152 032;545 369;507 372;403 160;1 037 821;965 188;1 647 402;797 382;445 838;404 182;256 109;1 811 810;10 963 788
;II.;339 976;1 892 775;1 650 675;485 865;5 976 142;1 033 336;967 102;66 234;485 713;460 893;412 361;975 126;896 452;1 499 127;800 588;427 309;271 229;213 136;1 599 167;10 293 926
;III.;511 950;2 209 539;1 957 212;564 574;6 637 606;1 232 499;1 089 802;142 697;562 763;532 666;404 669;1 015 148;976 637;1 632 674;816 905;441 840;373 929;280 550;1 881 391;11 805 060
;IV.;382 392;2 473 945;2 164 723;702 019;6 977 206;1 371 019;1 292 277;78 743;618 348;613 309;359 329;996 818;1 052 600;1 665 706;802 293;489 498;373 915;300 076;1 899 140;12 434 701
2021.;I.;254 561;2 304 886;2 075 988;334 821;6 641 309;1 062 198;919 426;142 772;475 728;574 281;447 210;1 036 294;984 548;1 817 456;844 147;430 382;542 927;243 594;1 870 000;11 405 577
;II.;388 340;2 710 266;2 476 888;599 995;7 262 771;1 337 838;1 182 613;155 225;564 802;580 252;459 279;1 099 533;1 165 324;1 798 416;842 067;465 828;490 521;257 327;1 938 303;12 899 675
;III.;560 420;2 377 516;2 172 138;708 277;7 652 841;1 459 761;1 206 089;253 672;633 344;667 044;462 940;1 131 257;1 180 945;1 791 948;845 409;438 845;507 695;325 602;2 039 508;13 338 561
;IV.;407 949;2 675 313;2 407 793;898 179;8 152 219;1 610 455;1 426 131;184 324;756 810;758 209;413 686;1 109 106;1 285 969;1 857 702;832 983;500 893;523 826;360 282;2 079 674;14 213 335
2022.;I.;279 217;2 528 158;2 216 968;439 724;7 757 453;1 311 966;1 057 876;254 090;573 879;644 049;490 120;1 221 840;1 151 265;2 073 208;911 509;477 980;683 719;291 126;2 113 422;13 117 975
;II.;287 160;2 942 336;2 658 497;676 284;8 492 121;1 599 007;1 366 032;232 975;677 102;652 369;503 737;1 303 272;1 362 345;2 072 497;904 433;537 902;630 162;321 793;2 203 513;14 601 415
;III.;390 535;2 722 247;2 457 772;809 873;8 552 872;1 623 824;1 349 739;274 085;702 739;699 153;502 379;1 315 613;1 344 512;2 011 447;899 312;495 568;616 567;353 205;2 269 544;14 745 070
;IV.;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;956 912;8 192 741;7 333 237;1 925 881;24 802 446;4 534 797;3 773 647;761 150;1 953 720;1 995 571;1 496 236;3 840 725;3 858 122;6 157 152;2 715 254;1 511 450;1 930 448;966 124;6 586 479;42 464 460
