21.2.1.8. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;332 244;1 878 612;1 653 696;292 932;4 697 131;887 950;476 169;357 137;257 273;622 895;642 854;1 223 874;206 021;1 343 969;8 532 988
2015.;I.;341 951;1 971 058;1 747 377;312 916;4 659 626;884 716;465 722;354 998;257 788;615 985;659 249;1 232 104;207 924;1 359 789;8 674 753
;II.;326 667;1 971 682;1 745 458;310 617;4 695 037;887 324;475 160;355 599;259 629;619 846;669 182;1 232 015;207 935;1 370 989;8 684 295
;III.;323 382;2 000 335;1 767 812;301 134;4 769 161;896 451;488 415;358 338;260 167;619 068;677 203;1 248 729;208 747;1 382 353;8 750 116
;IV.;333 029;2 023 997;1 788 161;311 799;4 785 959;906 182;478 932;360 967;262 351;621 881;691 122;1 235 805;210 249;1 398 171;8 841 312
2016.;I.;357 100;2 008 543;1 743 838;244 012;4 795 749;895 145;499 897;365 275;260 892;630 347;695 749;1 249 409;208 001;1 348 292;8 793 299
;II.;380 872;2 025 121;1 776 860;255 877;4 830 928;901 762;497 923;371 184;261 568;631 368;708 562;1 258 145;209 261;1 404 155;8 911 811
;III.;376 982;2 023 641;1 745 091;273 215;4 882 040;909 011;495 810;377 067;265 189;634 506;720 107;1 259 052;214 263;1 413 303;8 959 141
;IV.;376 740;2 045 842;1 795 546;277 238;4 953 068;913 866;511 189;386 341;267 432;635 949;737 293;1 272 585;217 636;1 417 933;9 036 177
2017.;I.;343 419;2 052 771;1 792 555;297 036;5 008 875;939 157;498 173;396 451;273 453;635 943;769 675;1 258 951;221 897;1 439 382;9 162 797
;II.;348 544;2 095 115;1 851 499;311 587;5 045 065;959 310;502 954;412 059;277 180;641 042;788 894;1 251 545;225 676;1 458 888;9 271 655
;III.;357 827;2 086 061;1 830 121;321 380;5 135 457;982 634;514 863;426 463;280 348;644 319;815 105;1 247 486;232 350;1 475 286;9 360 393
;IV.;341 864;2 108 772;1 871 403;343 374;5 211 228;1 005 806;530 541;434 739;284 893;650 317;834 445;1 250 382;235 485;1 491 781;9 493 180
2018.;I.;360 484;2 124 998;1 868 035;333 953;5 339 696;1 045 413;545 168;448 023;284 622;663 092;846 819;1 259 628;239 084;1 497 278;9 658 417
;II.;364 221;2 129 248;1 889 851;359 268;5 368 262;1 064 313;543 163;455 554;290 125;666 244;866 434;1 261 564;244 283;1 519 265;9 749 831
;III.;372 367;2 147 876;1 885 090;387 147;5 434 202;1 076 411;545 466;463 446;296 775;676 789;883 632;1 269 632;246 337;1 538 984;9 897 458
;IV.;367 100;2 173 546;1 918 715;386 260;5 505 288;1 094 201;556 676;478 002;302 898;681 781;899 871;1 263 388;250 148;1 557 580;9 996 138
