20.2.2.5. A foglalkoztatottak száma foglalkoztatásuk jellege szerint, régiónként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Budapest;Pest;Közép-Dunántúl;Nyugat-Dunántúl;Dél-Dunántúl;Észak-Magyarország;Észak-Alföld;Dél-Alföld;Összesen
Alkalmazott;;;;;;;;;;
;II.;752,0;573,1;475,5;445,7;341,5;428,7;592,0;500,0;4 108,5
;III.;743,9;577,7;479,1;444,9;347,1;436,8;593,4;495,1;4 118,1
;IV.;;;;;;;;;
Nem alkalmazott;;;;;;;;;;
2009.;I.;108,5;71,7;41,7;47,9;39,7;43,9;62,0;71,3;486,7
;II.;109,2;68,7;40,8;47,2;38,7;42,9;61,6;70,5;479,4
;III.;104,6;64,3;44,2;51,9;41,4;39,4;57,5;71,4;474,6
;IV.;108,8;68,1;43,9;51,1;37,8;39,4;57,4;69,5;476,0
2010.;I.;107,7;65,3;44,8;51,1;40,9;34,3;56,7;69,3;470,2
;II.;107,1;60,9;45,8;50,9;40,4;33,9;58,3;67,9;465,3
;III.;103,7;63,7;48,2;50,6;40,8;34,9;57,1;69,7;468,8
;IV.;103,8;63,2;48,1;48,2;43,5;33,9;59,2;66,3;466,2
2011.;I.;107,3;62,0;47,8;44,5;44,6;34,0;59,2;67,1;466,5
;II.;111,0;62,4;44,4;45,3;48,2;33,5;58,2;67,4;470,3
;III.;111,2;65,2;46,8;44,0;42,3;34,6;57,3;66,4;468,0
;IV.;107,6;64,0;41,7;44,5;39,0;35,6;56,5;64,9;453,7
2012.;I.;112,3;61,1;40,4;47,3;37,3;30,0;55,7;63,5;447,6
