21.2.1.14. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan kiigazítva, negyedévente [millió Ft];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;II.;4 115 689;825 936;146 728;5 088 176;879 193;5 947 321;1 966 467;x;x;2 112 537;8 072 967;5 969 807;1 539 257;7 505 100;5 779 071;1 160 330;6 939 505;x;x;x;8 680 696
;III.;4 159 446;834 834;147 992;5 138 266;900 518;6 039 145;1 920 842;x;x;2 042 285;8 085 691;6 106 222;1 611 559;7 717 504;5 861 205;1 176 261;7 057 177;x;x;x;8 746 673
;IV.;4 206 670;839 423;150 320;5 193 827;909 601;6 114 916;2 084 588;x;x;2 033 533;8 172 383;6 290 881;1 623 936;7 915 246;5 926 384;1 291 785;7 213 866;x;x;x;8 837 984
2016.;I.;4 266 265;840 014;148 351;5 262 154;910 431;6 179 053;1 679 147;x;x;1 905 709;8 115 420;5 988 918;1 711 170;7 687 849;5 819 519;1 213 405;7 021 640;x;x;x;8 790 105
;II.;4 306 889;842 226;151 308;5 304 595;903 615;6 210 724;1 679 241;x;x;1 951 858;8 166 473;6 287 774;1 766 469;8 044 714;6 042 539;1 268 434;7 308 892;x;x;x;8 908 535
;III.;4 353 291;835 809;153 181;5 334 176;891 643;6 222 860;1 801 127;x;x;1 987 615;8 195 820;6 265 694;1 782 346;8 063 410;6 032 152;1 229 077;7 277 387;x;x;x;8 955 648
;IV.;4 403 302;836 850;156 785;5 397 098;883 005;6 269 391;1 853 387;x;x;2 067 791;8 351 487;6 190 961;1 794 005;7 984 263;6 040 654;1 231 545;7 267 259;x;x;x;9 032 290
2017.;I.;4 448 426;842 065;163 020;5 449 246;891 972;6 329 772;2 012 520;x;x;2 263 056;8 592 616;6 497 408;1 862 830;8 345 386;6 507 640;1 282 646;7 783 470;x;x;x;9 158 322
;II.;4 506 684;847 914;166 950;5 522 762;915 493;6 444 062;2 083 530;x;x;2 085 428;8 523 715;6 567 779;1 881 409;8 434 707;6 436 463;1 301 448;7 736 094;x;x;x;9 266 646
;III.;4 563 393;854 910;185 616;5 600 909;937 540;6 537 649;2 121 722;x;x;2 207 548;8 723 446;6 582 969;1 902 966;8 509 980;6 561 573;1 305 176;7 878 118;x;x;x;9 354 912
;IV.;4 625 179;857 452;181 340;5 674 952;964 693;6 646 889;2 161 918;x;x;2 217 967;8 852 759;6 603 637;1 939 279;8 544 468;6 599 737;1 305 732;7 901 227;x;x;x;9 487 252
2018.;I.;4 676 456;850 454;189 586;5 707 646;970 185;6 679 675;2 240 657;x;x;2 350 023;9 060 418;6 701 099;2 028 519;8 696 052;6 851 059;1 308 520;8 156 389;x;x;x;9 652 076
;II.;4 730 129;847 660;194 629;5 767 967;974 290;6 751 883;2 394 586;x;x;2 461 184;9 172 214;6 915 187;2 075 195;8 968 500;7 046 830;1 379 479;8 425 573;x;x;x;9 742 795
;III.;4 782 308;852 845;199 272;5 830 102;970 561;6 799 225;2 491 735;x;x;2 649 691;9 470 069;6 645 622;2 043 458;8 736 766;6 951 182;1 406 503;8 367 432;x;x;x;9 889 341
;IV.;4 835 574;850 798;199 668;5 885 305;966 171;6 823 087;2 560 207;x;x;2 601 443;9 415 251;7 021 594;2 079 606;9 104 477;7 192 448;1 332 764;8 518 448;x;x;x;9 986 620
2019.;I.;4 895 718;859 274;198 506;5 942 009;1 006 413;6 949 221;2 723 371;x;x;2 765 782;9 709 514;7 108 414;2 193 743;9 246 921;7 354 125;1 484 648;8 832 277;x;x;x;10 177 283
;II.;4 966 186;867 367;199 397;6 033 830;1 016 585;7 052 934;2 761 634;x;x;2 830 509;9 791 062;7 099 680;2 213 987;9 283 533;7 374 336;1 532 017;8 903 622;x;x;x;10 216 107
;III.;5 036 842;859 428;200 778;6 074 520;1 055 642;7 146 036;2 824 741;x;x;2 872 774;10 052 426;7 322 795;2 202 086;9 598 716;7 680 625;1 637 046;9 327 365;x;x;x;10 364 900
;IV.;5 120 691;864 103;202 637;6 194 087;1 080 364;7 305 364;2 654 314;x;x;2 863 557;10 206 464;7 076 013;2 223 241;9 302 412;7 549 989;1 604 354;9 151 684;x;x;x;10 419 599
2020.;I.;5 152 009;849 234;204 593;6 199 480;1 064 196;7 216 856;2 625 675;x;x;2 954 816;10 195 535;7 173 710;2 128 224;9 234 619;7 571 539;1 523 003;9 086 390;x;x;x;10 371 660
;II.;4 643 610;761 744;206 135;5 606 384;1 108 168;6 753 828;2 485 961;x;x;2 508 936;9 172 957;5 698 709;1 387 292;7 082 800;6 233 657;1 233 157;7 467 795;x;x;x;8 885 765
;III.;4 924 417;833 407;208 286;5 959 868;1 102 896;7 058 018;2 468 795;x;x;2 559 699;9 569 076;7 569 411;1 633 447;9 253 050;7 625 284;1 265 262;8 890 381;x;x;x;9 946 773
;IV.;5 052 325;820 767;208 486;6 047 332;1 133 333;7 207 871;2 656 094;x;x;2 665 178;9 856 581;7 841 449;1 708 484;9 594 264;8 032 400;1 356 263;9 377 234;x;x;x;10 081 537
2021.;I.;4 863 552;819 840;210 286;5 908 272;1 143 879;7 063 329;2 560 047;x;x;2 557 576;9 736 661;7 948 688;1 734 327;9 702 093;7 942 273;1 392 596;9 342 474;x;x;x;10 186 479
;II.;5 112 418;812 600;208 469;6 109 432;1 137 955;7 245 763;2 692 306;x;x;3 042 578;10 225 126;7 833 444;1 816 090;9 652 349;8 144 925;1 338 593;9 499 341;x;x;x;10 421 298
;III.;5 302 970;821 066;209 606;6 315 180;1 151 723;7 480 189;2 748 441;x;x;3 055 653;10 536 646;7 583 341;1 897 190;9 537 169;8 090 750;1 477 663;9 569 439;x;x;x;10 594 770
;IV.;5 426 730;831 985;212 099;6 446 463;1 138 178;7 566 990;2 705 018;x;x;3 034 565;10 570 496;7 792 022;2 023 496;9 844 990;8 037 743;1 551 488;9 579 168;x;x;x;10 810 691
2022.;I.;5 496 752;844 213;210 442;6 533 256;1 152 505;7 718 284;2 820 064;x;x;3 103 426;10 855 776;8 096 378;2 119 982;10 187 345;8 509 388;1 609 202;10 120 471;x;x;x;10 981 770
;II.;5 564 136;855 749;216 056;6 628 910;1 152 093;7 780 537;2 844 483;x;x;3 065 348;10 817 528;8 191 304;2 224 906;10 396 117;8 481 974;1 691 776;10 165 014;x;x;x;11 070 570
;III.;5 589 542;861 398;217 660;6 625 357;1 159 132;7 773 428;2 862 830;x;x;2 972 572;10 700 505;8 616 661;2 216 074;10 870 746;8 847 487;1 743 593;10 574 888;x;x;x;11 022 461
;IV.;;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;16 650 430;2 561 360;644 158;19 787 523;3 463 730;23 272 249;8 527 377;x;x;9 141 346;32 373 809;24 904 343;6 560 962;31 454 208;25 838 849;5 044 571;30 860 373;x;x;x;33 074 801
