22.1.2.7. A népmozgalmi események megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Közép-Magyarország;nagyrégió;-11 196;-10 590;-10 870;-9 427;-8 979;-6 599;-6 971;-4 818;-5 539;-6 722;-7 725;-7 397;-7 552;-6 524;-8 441;-6 917;-8 960;-9 035;-8 419;-10 857;-13 766
Fejér;megye;-860;-908;-1 194;-1 007;-1 071;-1 137;-1 151;-1 113;-1 405;-1 586;-1 631;-1 508;-1 507;-1 335;-1 646;-1 292;-1 844;-2 081;-1 920;-1 950;-2 638
Komárom-Esztergom;megye;-911;-1 162;-1 325;-1 185;-1 138;-1 187;-1 002;-1 105;-1 176;-1 158;-1 248;-1 144;-1 357;-1 132;-1 574;-1 101;-1 264;-1 396;-1 345;-1 768;-2 192
Veszprém;megye;-1 359;-1 177;-1 434;-1 378;-1 313;-1 219;-1 369;-1 032;-1 337;-1 524;-1 678;-1 419;-1 438;-1 472;-1 568;-1 662;-1 863;-1 770;-1 712;-2 291;-2 566
Közép-Dunántúl;régió;-3 130;-3 247;-3 953;-3 570;-3 522;-3 543;-3 522;-3 250;-3 918;-4 268;-4 557;-4 071;-4 302;-3 939;-4 788;-4 055;-4 971;-5 247;-4 977;-6 009;-7 396
Gyõr-Moson-Sopron;megye;-1 035;-1 209;-1 488;-1 269;-1 087;-919;-1 235;-1 159;-1 184;-1 454;-1 459;-1 445;-1 625;-1 356;-1 312;-1 112;-1 303;-1 320;-1 132;-1 596;-1 962
Vas;megye;-1 209;-1 237;-1 345;-1 287;-1 417;-1 140;-1 353;-1 218;-1 327;-1 570;-1 677;-1 625;-1 518;-1 500;-1 375;-1 322;-1 449;-1 295;-1 347;-1 594;-1 953
Zala;megye;-1 459;-1 602;-1 687;-1 678;-1 554;-1 236;-1 454;-1 272;-1 645;-1 815;-1 838;-1 793;-1 707;-1 644;-1 809;-1 660;-1 846;-1 901;-1 969;-2 424;-2 393
Nyugat-Dunántúl;régió;-3 703;-4 048;-4 520;-4 234;-4 058;-3 295;-4 042;-3 649;-4 156;-4 839;-4 974;-4 863;-4 850;-4 500;-4 496;-4 094;-4 598;-4 516;-4 448;-5 614;-6 308
Baranya;megye;-1 504;-1 504;-1 980;-1 504;-1 660;-1 408;-1 623;-1 502;-1 563;-1 924;-1 853;-2 090;-2 029;-1 794;-2 095;-2 053;-2 128;-2 073;-2 159;-2 336;-3 128
Somogy;megye;-1 428;-1 586;-1 726;-1 740;-1 756;-1 550;-1 807;-1 726;-1 998;-2 106;-1 942;-1 964;-1 972;-1 644;-2 048;-1 706;-1 937;-2 048;-2 023;-2 113;-2 943
Tolna ;megye;-1 093;-1 045;-1 260;-1 215;-1 149;-1 165;-1 139;-1 027;-1 088;-1 375;-1 312;-1 111;-1 110;-1 128;-1 228;-1 052;-1 339;-1 319;-1 402;-1 479;-1 954
Dél-Dunántúl;régió;-4 025;-4 135;-4 966;-4 459;-4 565;-4 123;-4 569;-4 255;-4 649;-5 405;-5 107;-5 165;-5 111;-4 566;-5 371;-4 811;-5 404;-5 440;-5 584;-5 928;-8 025
Dunántúl;nagyrégió;-10 858;-11 430;-13 439;-12 263;-12 145;-10 961;-12 133;-11 154;-12 723;-14 512;-14 638;-14 099;-14 263;-13 005;-14 655;-12 960;-14 973;-15 203;-15 009;-17 551;-21 729
Borsod-Abaúj-Zemplén;megye;-1 841;-2 134;-2 730;-2 889;-2 925;-2 167;-2 732;-2 274;-2 540;-3 191;-2 967;-2 926;-2 980;-2 477;-2 558;-2 107;-2 449;-2 273;-2 440;-3 148;-4 300
Heves;megye;-1 479;-1 633;-1 815;-1 525;-1 775;-1 507;-1 537;-1 542;-1 809;-1 920;-1 807;-1 776;-1 512;-1 384;-1 709;-1 529;-1 547;-1 799;-1 777;-2 015;-2 585
Nógrád ;megye;-1 159;-1 044;-1 124;-1 270;-1 316;-1 146;-1 259;-1 190;-1 311;-1 348;-1 514;-1 275;-1 147;-1 315;-1 257;-1 154;-1 274;-1 336;-1 379;-1 396;-2 047
Észak-Magyarország;régió;-4 479;-4 811;-5 669;-5 684;-6 016;-4 820;-5 528;-5 006;-5 660;-6 459;-6 288;-5 977;-5 639;-5 176;-5 524;-4 790;-5 270;-5 408;-5 596;-6 559;-8 932
