21.2.1.5. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron nemzetgazdasági áganként, negyedévente – ESA2010 [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;290 630;1 897 675;1 650 825;378 826;4 809 185;974 423;870 976;102 776;506 450;388 209;233 021;631 192;631 831;1 237 314;545 977;367 387;332 603;214 474;1 355 150;8 721 915
2014.;I.;201 708;1 696 474;1 473 716;169 605;4 266 256;692 064;598 083;93 975;407 960;311 284;267 505;630 705;581 963;1 203 615;537 765;331 035;335 842;175 140;1 250 749;7 572 547
;II.;318 487;1 885 065;1 676 856;280 957;4 592 917;830 475;715 731;114 782;449 691;331 753;271 229;621 810;638 741;1 247 115;587 072;347 565;313 648;204 555;1 283 946;8 359 214
;III.;476 928;1 832 120;1 619 310;328 606;4 696 111;894 083;761 942;132 307;495 035;363 353;261 007;620 757;636 667;1 220 944;571 373;342 131;309 190;204 366;1 373 082;8 720 315
;IV.;330 616;1 989 176;1 733 860;383 481;4 967 161;1 059 330;935 591;123 516;531 489;406 888;231 772;626 930;662 394;1 217 565;575 191;331 256;310 696;227 777;1 395 544;9 063 206
2015.;I.;221 901;1 861 882;1 626 249;192 965;4 345 454;711 419;609 861;101 559;406 393;315 523;265 471;617 967;625 457;1 222 501;570 565;326 143;325 794;180 723;1 297 181;7 919 384
;II.;310 601;2 030 346;1 821 388;310 431;4 662 850;850 928;731 595;119 333;452 361;337 576;271 582;619 944;685 093;1 243 090;591 175;335 342;316 573;202 276;1 332 827;8 647 055
;III.;458 337;1 932 886;1 718 105;335 787;4 835 024;925 372;789 550;135 822;510 401;369 441;265 111;615 122;674 290;1 260 934;605 212;344 518;311 204;214 355;1 424 968;8 987 002
;IV.;334 190;2 163 373;1 902 577;397 283;5 066 455;1 086 954;960 703;126 252;539 074;407 363;237 770;623 748;711 917;1 222 128;593 282;331 860;296 985;237 501;1 450 472;9 411 771
2016.;I.;227 471;1 857 268;1 591 225;142 968;4 476 694;724 451;618 620;105 831;437 441;327 818;270 502;633 865;660 590;1 242 188;590 834;328 317;323 037;179 838;1 306 424;8 010 824
