22.1.2.13. Állandó belföldi vándorlás megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Zala;megye;4 615;4 503;4 835;4 566;4 867;5 541;5 630;5 099;4 599;4 299;4 420;4 210;3 955;4 180;4 381;4 976;5 413;5 527;5 922;5 408;5 980
Nyugat-Dunántúl;régió;13 906;15 019;15 948;14 525;15 163;17 491;17 218;16 269;14 036;13 329;13 581;13 094;13 242;14 723;15 311;17 640;18 026;19 057;19 380;19 357;21 166
Baranya;megye;8 077;8 951;8 957;7 754;8 269;8 858;8 627;7 870;7 056;6 775;6 520;6 280;6 183;7 045;6 329;7 393;7 427;7 763;8 607;7 819;8 819
Somogy;megye;6 258;6 251;6 314;5 402;5 899;6 688;6 316;5 950;5 204;5 196;4 980;4 946;4 760;5 292;5 002;5 930;6 004;6 279;6 319;5 980;6 496
Tolna ;megye;3 731;4 025;4 123;3 445;3 567;3 813;3 672;3 532;3 076;3 002;2 939;2 905;2 740;3 062;3 071;3 592;3 657;3 676;3 622;3 489;3 848
Dél-Dunántúl;régió;18 066;19 227;19 394;16 601;17 735;19 359;18 615;17 352;15 336;14 973;14 439;14 131;13 683;15 399;14 402;16 915;17 088;17 718;18 548;17 288;19 163
Dunántúl;nagyrégió;48 137;52 148;54 059;47 597;49 195;56 195;55 080;51 590;43 967;41 991;42 074;40 245;39 978;44 733;45 223;53 307;54 741;56 728;58 456;55 672;62 263
Borsod-Abaúj-Zemplén;megye;12 323;12 951;14 370;12 277;13 259;14 290;13 987;13 167;11 453;10 761;10 530;9 757;9 552;11 019;10 258;12 050;12 882;13 129;15 474;13 344;14 493
Heves;megye;5 007;5 110;5 520;4 865;4 982;5 648;5 545;4 988;4 700;4 365;4 458;4 334;4 160;4 689;4 408;5 578;5 542;5 944;5 688;5 404;6 197
Nógrád ;megye;2 844;3 033;3 038;2 665;2 892;3 306;3 223;3 179;2 898;2 830;2 722;2 807;2 285;2 606;2 602;3 066;3 056;3 272;3 376;3 246;3 686
Észak-Magyarország;régió;20 174;21 094;22 928;19 807;21 133;23 244;22 755;21 334;19 051;17 956;17 710;16 898;15 997;18 314;17 268;20 694;21 480;22 345;24 538;21 994;24 376
Hajdú-Bihar;megye;6 763;7 098;7 243;6 543;6 875;7 472;7 404;7 074;6 073;5 553;5 627;5 207;5 307;5 852;6 022;6 932;6 910;7 410;7 797;7 283;8 344
Jász-Nagykun-Szolnok;megye;4 581;4 728;4 912;4 382;4 759;5 193;4 752;4 621;4 159;3 801;3 713;3 668;3 978;4 235;3866;4 653;4 591;4 822;4 946;4 735;5 330
Szabolcs-Szatmár-Bereg;megye;9 267;10 054;9 927;9 116;9 444;10 974;10 067;9 693;8 525;8 705;8 381;7 684;8 016;8 932;8754;10 233;10 420;11 019;11 247;10 621;12 071
Észak-Alföld;régió;20 611;21 880;22 082;20 041;21 078;23 639;22 223;21 388;18 757;18 059;17 721;16 559;17 301;19 019;18 642;21 818;21 921;23 251;23 990;22 639;25 745
Bács-Kiskun ;megye;6 923;7 258;7 511;6 413;7 048;8 031;7 431;7 022;5 976;5 631;5 675;5 483;5 694;5 930;5 849;6 811;7 142;7 704;7 363;7 111;8 537
Békés;megye;4 589;5 069;5 030;4 358;4 643;5 228;4 804;4 531;4 047;3 816;3 685;3 393;3 601;3 757;3 635;4 262;4 308;4 600;4 645;4 420;4 910
Csongrád-Csanád;megye;5 215;5 812;6 481;5 095;5 009;5 922;5 673;5 292;4 445;4 153;4 322;4 294;4 381;4 451;4 590;5 777;5 930;6 143;6 174;5 780;6 361
Dél-Alföld;régió;16 727;18 139;19 022;15 866;16 700;19 181;17 908;16 845;14 468;13 600;13 682;13 170;13 676;14 138;14 074;16 850;17 380;18 447;18 182;17 311;19 808
Alföld és Észak;nagyrégió;57 512;61 113;64 032;55 714;58 911;66 064;62 886;59 567;52 276;49 615;49 113;46 627;46 974;51 471;49 984;59 362;60 781;64 043;66 710;61 944;69 929
Ország összesen;ország;117 393;125 686;131 477;115 653;119 982;136 720;133 384;125 724;109 109;103 637;103 090;98 591;97 970;108 957;108 461;129 813;133 708;140 276;144 204;135 264;153 373
