20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
;október;2 484,7;73,1;2 557,8;1 046,4;3 604,1;136,6;71,0;2,9;68,9
;november;2 437,5;103,4;2 540,9;1 062,4;3 603,3;169,3;70,5;4,1;67,6
;december;2 447,6;94,3;2 541,8;1 060,7;3 602,6;169,4;70,6;3,7;67,9
2019.;január;2 481,8;91,5;2 573,3;1 027,9;3 601,2;150,3;71,5;3,6;68,9
;február;2 484,2;92,2;2 576,3;1 027,9;3 604,2;157,7;71,5;3,6;68,9
;március;2 452,3;86,0;2 538,3;1 064,7;3 602,9;157,8;70,4;3,4;68,1
;április;2 475,2;88,3;2 563,5;1 038,7;3 602,2;147,3;71,2;3,4;68,7
;május;2 498,4;96,6;2 595,0;1 013,4;3 608,5;158,8;71,9;3,7;69,2
;június;2 443,7;78,7;2 522,4;1 086,2;3 608,6;158,4;69,9;3,1;67,7
;július;2 492,1;88,0;2 580,0;1 028,4;3 608,4;154,2;71,5;3,4;69,1
;augusztus;2 515,4;78,9;2 594,3;1 014,0;3 608,3;140,2;71,9;3,0;69,7
;szeptember;2 454,7;88,5;2 543,2;1 065,1;3 608,3;152,9;70,5;3,5;68,0
;október;2 483,8;83,7;2 567,5;1 040,7;3 608,2;138,9;71,2;3,3;68,8
;november;2 523,5;78,4;2 601,9;1 006,1;3 608,0;134,4;72,1;3,0;69,9
;december;2 455,7;82,4;2 538,1;1 070,0;3 608,2;158,2;70,3;3,2;68,1
2020.;január;2 437,4;97,1;2 534,5;1 073,1;3 607,6;170,2;70,3;3,8;67,6
;február;2 494,6;81,5;2 576,2;1 031,2;3 607,4;146,3;71,4;3,2;69,2
;március;2 440,8;97,5;2 538,2;1 069,4;3 607,7;190,2;70,4;3,8;67,7
;április;2 412,0;95,5;2 507,5;1 100,3;3 607,8;207,2;69,5;3,8;66,9
;május;2 437,1;119,1;2 556,2;1 051,8;3 608,0;195,8;70,8;4,7;67,5
;június;2 449,6;121,2;2 570,9;1 037,4;3 608,2;219,5;71,2;4,7;67,9
;július;2 461,7;114,4;2 576,0;1 032,5;3 608,5;203,1;71,4;4,4;68,2
;augusztus;2 506,7;91,6;2 598,3;1 010,8;3 609,1;159,7;72,0;3,5;69,5
;szeptember;2 464,5;124,7;2 589,3;1 020,1;3 609,4;200,8;71,7;4,8;68,3
;október;2 459,9;105,8;2 565,8;1 043,8;3 609,6;181,4;71,1;4,1;68,2
;november;2 512,0;98,2;2 610,2;999,2;3 609,4;166,9;72,3;3,8;69,6
;december;2 468,2;104,0;2 572,3;1 036,1;3 608,3;189,8;71,3;4,0;68,4
2021.;január;2 435,1;120,6;2 555,6;1 051,3;3 606,9;219,3;70,9;4,7;67,5
;február;2 458,5;109,5;2 567,9;1 024,7;3 592,6;209,1;71,5;4,3;68,4
;március;2 474,8;88,6;2 563,5;1 027,8;3 591,3;166,6;71,4;3,5;68,9
;április;2 416,7;119,2;2 535,9;1 052,4;3 588,3;208,4;70,7;4,7;67,3
;május;2 487,7;95,4;2 583,1;1 002,4;3 585,5;186,0;72,0;3,7;69,4
;június;2 486,8;98,7;2 585,5;995,2;3 580,7;158,0;72,2;3,8;69,5
;július;2 505,6;102,5;2 608,0;971,6;3 579,6;..;72,9;3,9;70,0
;augusztus;2 503,1;98,4;2 601,5;976,9;3 578,4;..;72,7;3,8;69,9
;szeptember;2 496,9;103,5;2 600,4;977,0;3 577,5;..;72,7;4,0;69,8
;október;2 500,3;96,1;2 596,4;980,0;3 576,4;..;72,6;3,7;69,9
;november;2 498,1;91,6;2 589,7;985,2;3 574,9;..;72,4;3,5;69,9
;december;2 500,2;96,3;2 596,5;975,8;3 572,4;..;72,7;3,7;70,0
2022.;január;2 475,1;103,3;2 578,4;990,7;3 569,2;..;72,2;4,0;69,3
;február;2 492,4;95,6;2 588,0;986,3;3 574,3;..;72,4;3,7;69,7
;március;2 492,7;89,5;2 582,2;990,7;3 572,9;..;72,3;3,5;69,8
;április;2 478,3;91,0;2 569,3;1 002,1;3 571,4;..;71,9;3,5;69,4
;május;2 476,2;87,5;2 563,7;1 006,4;3 570,1;..;71,8;3,4;69,4
;június;2 497,2;84,2;2 581,4;987,6;3 569,0;..;72,3;3,3;70,0
;július;2 484,8;92,2;2 577,0;991,0;3 568,0;..;72,2;3,6;69,6
;augusztus;2 491,3;93,4;2 584,7;982,3;3 566,9;..;72,5;3,6;69,8
;szeptember;2 489,8;97,3;2 587,1;978,7;3 565,9;..;72,6;3,8;69,8
;október;2 482,3;90,8;2 573,1;991,8;3 564,9;..;72,2;3,5;69,6
;november;;;;;;;;;
;december;;;;;;;;;
Nõ;;;;;;;;;;
2009.;január;1 849,3;167,5;2 016,9;1 987,6;4 004,4;301,8;50,4;8,3;46,2
;február;1 864,4;179,0;2 043,4;1 960,2;4 003,6;293,3;51,0;8,8;46,6
;március;1 874,0;188,1;2 062,1;1 940,6;4 002,7;312,0;51,5;9,1;46,8
;április;1 843,4;180,4;2 023,9;1 978,0;4 001,8;315,4;50,6;8,9;46,1
;május;1 885,8;169,4;2 055,1;1 945,8;4 000,9;293,6;51,4;8,2;47,1
;június;1 880,9;179,3;2 060,2;1 939,8;4 000,0;298,5;51,5;8,7;47,0
;július;1 877,0;186,9;2 063,9;1 935,2;3 999,1;323,3;51,6;9,1;46,9
;augusztus;1 872,6;192,5;2 065,2;1 933,1;3 998,2;329,4;51,7;9,3;46,8
;szeptember;1 861,8;197,4;2 059,3;1 938,0;3 997,3;325,8;51,5;9,6;46,6
;október;1 880,3;187,4;2 067,7;1 928,7;3 996,4;330,3;51,7;9,1;47,1
;november;1 860,3;201,4;2 061,7;1 933,8;3 995,5;337,0;51,6;9,8;46,6
;december;1 871,8;197,9;2 069,7;1 924,9;3 994,6;323,9;51,8;9,6;46,9
2010.;január;1 845,8;207,9;2 053,7;1 940,0;3 993,7;350,7;51,4;10,1;46,2
;február;1 878,0;210,8;2 088,8;1 904,0;3 992,8;345,2;52,3;10,1;47,0
;március;1 880,0;213,9;2 094,0;1 897,9;3 991,9;345,7;52,5;10,2;47,1
;április;1 856,8;205,6;2 062,4;1 928,5;3 990,9;345,5;51,7;10,0;46,5
;május;1 878,6;208,2;2 086,8;1 903,3;3 990,1;347,4;52,3;10,0;47,1
;június;1 905,3;197,0;2 102,3;1 886,9;3 989,2;325,5;52,7;9,4;47,8
;július;1 864,7;207,1;2 071,9;1 916,5;3 988,3;348,3;51,9;10,0;46,8
;augusztus;1 871,7;214,7;2 086,4;1 901,0;3 987,4;351,9;52,3;10,3;46,9
;szeptember;1 925,0;205,2;2 130,2;1 856,3;3 986,5;339,9;53,4;9,6;48,3
;október;1 893,6;195,5;2 089,1;1 896,5;3 985,6;327,4;52,4;9,4;47,5
;november;1 867,4;218,9;2 086,3;1 898,5;3 984,7;357,2;52,4;10,5;46,9
;december;1 891,2;203,3;2 094,5;1 889,4;3 983,9;358,5;52,6;9,7;47,5
2011.;január;1 866,1;200,6;2 066,7;1 916,3;3 983,0;336,0;51,9;9,7;46,9
;február;1 841,4;233,8;2 075,2;1 906,8;3 982,0;388,0;52,1;11,3;46,2
;március;1 878,1;217,3;2 095,4;1 885,8;3 981,2;371,7;52,6;10,4;47,2
;április;1 878,2;197,0;2 075,2;1 905,1;3 980,2;327,6;52,1;9,5;47,2
;május;1 872,4;216,9;2 089,3;1 890,0;3 979,4;360,1;52,5;10,4;47,1
;június;1 880,4;225,8;2 106,2;1 872,3;3 978,5;384,8;52,9;10,7;47,3
;július;1 902,1;199,1;2 101,2;1 876,3;3 977,5;342,0;52,8;9,5;47,8
;augusztus;1 884,5;213,2;2 097,6;1 879,0;3 976,7;368,2;52,7;10,2;47,4
;szeptember;1 880,2;226,8;2 107,0;1 868,8;3 975,7;388,4;53,0;10,8;47,3
;október;1 926,8;215,8;2 142,5;1 832,3;3 974,8;350,9;53,9;10,1;48,5
;november;1 896,8;199,4;2 096,1;1 875,4;3 971,6;361,1;52,8;9,5;47,8
;december;1 856,9;222,1;2 079,0;1 889,7;3 968,7;387,3;52,4;10,7;46,8
2012.;január;1 880,9;231,4;2 112,3;1 853,8;3 966,1;383,8;53,3;11,0;47,4
;február;1 880,1;211,7;2 091,8;1 872,9;3 964,7;359,1;52,8;10,1;47,4
;március;1 851,2;233,3;2 084,5;1 878,9;3 963,5;397,3;52,6;11,2;46,7
;április;1 898,0;230,9;2 128,9;1 833,1;3 962,0;402,0;53,7;10,8;47,9
;május;1 935,2;186,7;2 122,0;1 838,9;3 960,9;339,9;53,6;8,8;48,9
;június;1 888,5;199,3;2 087,8;1 872,0;3 959,8;369,1;52,7;9,5;47,7
;július;1 947,8;215,6;2 163,4;1 795,4;3 958,7;400,0;54,6;10,0;49,2
;augusztus;1 935,3;195,3;2 130,6;1 827,0;3 957,6;370,6;53,8;9,2;48,9
;szeptember;1 941,1;198,6;2 139,7;1 816,9;3 956,6;355,8;54,1;9,3;49,1
;október;1 931,0;222,8;2 153,8;1 801,8;3 955,6;398,3;54,4;10,3;48,8
;november;1 909,1;205,9;2 115,0;1 839,6;3 954,6;388,6;53,5;9,7;48,3
;december;1 913,2;196,5;2 109,7;1 843,8;3 953,5;377,3;53,4;9,3;48,4
2013.;január;1 885,8;225,2;2 111,0;1 841,2;3 952,2;416,7;53,4;10,7;47,7
;február;1 870,3;209,2;2 079,5;1 870,7;3 950,2;386,5;52,6;10,1;47,3
;március;1 922,2;202,6;2 124,8;1 823,6;3 948,4;372,9;53,8;9,5;48,7
;április;1 931,7;212,9;2 144,6;1 801,7;3 946,3;397,6;54,3;9,9;49,0
;május;1 890,1;202,1;2 092,2;1 852,2;3 944,5;376,7;53,0;9,7;47,9
;június;1 942,0;197,2;2 139,2;1 803,6;3 942,8;363,4;54,3;9,2;49,3
;július;1 955,0;203,5;2 158,5;1 782,5;3 941,0;374,8;54,8;9,4;49,6
;augusztus;1 897,3;209,2;2 106,5;1 832,7;3 939,3;369,4;53,5;9,9;48,2
;szeptember;1 959,0;188,0;2 147,1;1 790,5;3 937,6;344,2;54,5;8,8;49,8
;október;1 968,9;189,0;2 157,9;1 778,0;3 935,9;352,8;54,8;8,8;50,0
;november;1 909,1;184,6;2 093,7;1 840,4;3 934,1;339,3;53,2;8,8;48,5
;december;1 964,4;187,9;2 152,3;1 780,1;3 932,4;343,1;54,7;8,7;50,0
2014.;január;2 008,6;170,7;2 179,3;1 751,1;3 930,5;328,3;55,4;7,8;51,1
;február;1 945,7;160,7;2 106,4;1 821,7;3 928,1;324,6;53,6;7,6;49,5
;március;1 985,6;181,7;2 167,3;1 758,9;3 926,2;334,7;55,2;8,4;50,6
;április;2 030,5;163,6;2 194,1;1 730,0;3 924,1;291,8;55,9;7,5;51,7
;május;1 937,2;158,4;2 095,6;1 826,5;3 922,2;319,4;53,4;7,6;49,4
;június;1 998,0;179,8;2 177,8;1 742,4;3 920,2;316,1;55,6;8,3;51,0
;július;2 053,4;159,8;2 213,2;1 705,2;3 918,4;277,9;56,5;7,2;52,4
;augusztus;1 969,3;150,9;2 120,1;1 796,5;3 916,6;301,9;54,1;7,1;50,3
;szeptember;2 030,1;166,0;2 196,1;1 718,6;3 914,7;303,6;56,1;7,6;51,9
;október;2 036,7;143,1;2 179,8;1 732,9;3 912,7;267,4;55,7;6,6;52,1
;november;2 004,3;146,8;2 151,1;1 759,6;3 910,7;278,9;55,0;6,8;51,3
;december;2 021,3;152,0;2 173,3;1 735,4;3 908,7;305,8;55,6;7,0;51,7
2015.;január;2 035,2;160,7;2 195,9;1 710,6;3 906,6;293,2;56,2;7,3;52,1
;február;1 997,7;160,5;2 158,2;1 745,4;3 903,6;299,3;55,3;7,4;51,2
;március;2 011,9;161,8;2 173,7;1 727,8;3 901,4;300,6;55,7;7,4;51,6
;április;2 072,0;139,0;2 211,1;1 687,9;3 899,0;254,7;56,7;6,3;53,1
;május;2 039,6;138,5;2 178,1;1 718,8;3 896,9;256,2;55,9;6,4;52,3
;június;2 026,3;163,0;2 189,3;1 709,5;3 898,8;273,3;56,2;7,4;52,0
;július;2 082,6;140,6;2 223,2;1 673,8;3 897,0;253,0;57,0;6,3;53,4
;augusztus;2 070,6;142,9;2 213,5;1 681,7;3 895,2;254,2;56,8;6,5;53,2
;szeptember;2 060,0;138,5;2 198,5;1 694,7;3 893,2;226,9;56,5;6,3;52,9
;október;2 088,0;131,6;2 219,6;1 671,8;3 891,4;228,8;57,0;5,9;53,7
;november;2 083,7;125,9;2 209,6;1 679,8;3 889,4;245,9;56,8;5,7;53,6
;december;2 044,9;145,8;2 190,7;1 696,8;3 887,5;247,0;56,4;6,7;52,6
2016.;január;2 057,9;120,6;2 178,4;1 707,1;3 885,5;236,9;56,1;5,5;53,0
;február;2 090,3;114,1;2 204,4;1 676,5;3 880,9;228,7;56,8;5,2;53,9
;március;2 080,7;142,0;2 222,6;1 656,2;3 878,8;239,6;57,3;6,4;53,6
;április;2 085,0;119,8;2 204,8;1 671,9;3 876,7;212,4;56,9;5,4;53,8
;május;2 131,0;88,2;2 219,2;1 655,5;3 874,7;183,8;57,3;4,0;55,0
;június;2 135,8;100,0;2 235,8;1 641,9;3 877,7;204,6;57,7;4,5;55,1
;július;2 132,2;117,5;2 249,7;1 626,5;3 876,2;194,1;58,0;5,2;55,0
;augusztus;2 143,9;97,0;2 240,9;1 633,7;3 874,6;194,5;57,8;4,3;55,3
;szeptember;2 134,4;99,2;2 233,6;1 639,3;3 872,9;190,5;57,7;4,4;55,1
;október;2 141,0;117,3;2 258,3;1 612,9;3 871,3;189,6;58,3;5,2;55,3
;november;2 157,0;76,4;2 233,4;1 636,2;3 869,6;181,4;57,7;3,4;55,7
;december;2 145,4;91,4;2 236,7;1 631,1;3 867,8;189,6;57,8;4,1;55,5
2017.;január;2 133,2;92,5;2 225,7;1 640,1;3 865,8;180,3;57,6;4,2;55,2
;február;2 102,6;89,7;2 192,3;1 667,1;3 859,5;206,4;56,8;4,1;54,5
;március;2 124,2;111,0;2 235,2;1 623,0;3 858,3;209,9;57,9;5,0;55,1
;április;2 142,5;106,2;2 248,7;1 605,5;3 854,3;186,3;58,3;4,7;55,6
;május;2 105,8;80,2;2 186,0;1 664,2;3 850,2;181,5;56,8;3,7;54,7
;június;2 121,9;102,1;2 224,0;1 624,2;3 848,2;198,0;57,8;4,6;55,1
;július;2 132,2;101,7;2 233,9;1 611,7;3 845,6;194,1;58,1;4,6;55,4
;augusztus;2 139,1;100,2;2 239,3;1 603,9;3 843,2;181,8;58,3;4,5;55,7
;szeptember;2 142,6;90,0;2 232,7;1 608,0;3 840,7;171,5;58,1;4,0;55,8
;október;2 145,1;98,0;2 243,1;1 595,2;3 838,3;179,5;58,4;4,4;55,9
;november;2 139,7;83,7;2 223,4;1 613,0;3 836,3;162,1;58,0;3,8;55,8
;december;2 142,4;94,8;2 237,2;1 596,2;3 833,4;171,5;58,4;4,2;55,9
2018.;január;2 135,1;91,4;2 226,6;1 604,2;3 830,7;182,0;58,1;4,1;55,7
;február;2 162,2;85,5;2 247,7;1 586,4;3 834,0;162,3;58,6;3,8;56,4
;március;2 132,8;91,4;2 224,1;1 607,7;3 831,9;161,0;58,0;4,1;55,7
;április;2 140,4;92,8;2 233,1;1 596,4;3 829,5;183,8;58,3;4,2;55,9
;május;2 197,5;65,8;2 263,3;1 567,9;3 831,2;143,8;59,1;2,9;57,4
;június;2 153,7;72,0;2 225,7;1 603,9;3 829,6;163,0;58,1;3,2;56,2
;július;2 165,6;100,7;2 266,3;1 561,5;3 827,9;170,4;59,2;4,4;56,6
;augusztus;2 181,6;87,8;2 269,5;1 556,6;3 826,1;157,2;59,3;3,9;57,0
;szeptember;2 160,9;88,8;2 249,7;1 574,8;3 824,5;166,4;58,8;3,9;56,5
;október;2 179,9;85,5;2 265,4;1 557,4;3 822,8;154,6;59,3;3,8;57,0
;november;2 164,3;66,9;2 231,2;1 589,8;3 821,0;143,3;58,4;3,0;56,6
;december;2 147,8;75,8;2 223,7;1 595,6;3 819,3;151,7;58,2;3,4;56,2
2019.;január;2 180,3;75,8;2 256,2;1 561,1;3 817,2;151,8;59,1;3,4;57,1
;február;2 157,5;72,6;2 230,1;1 588,3;3 818,3;145,5;58,4;3,3;56,5
;március;2 136,9;76,8;2 213,7;1 602,5;3 816,2;143,9;58,0;3,5;56,0
;április;2 162,4;69,8;2 232,1;1 582,1;3 814,3;141,3;58,5;3,1;56,7
;május;2 176,9;62,6;2 239,5;1 576,5;3 816,0;139,5;58,7;2,8;57,0
;június;2 172,9;69,4;2 242,3;1 572,1;3 814,5;146,9;58,8;3,1;57,0
;július;2 161,8;77,3;2 239,2;1 573,7;3 812,9;163,2;58,7;3,5;56,7
;augusztus;2 168,0;78,5;2 246,5;1 565,0;3 811,4;154,7;58,9;3,5;56,9
;szeptember;2 170,6;75,9;2 246,5;1 563,4;3 809,9;146,7;59,0;3,4;57,0
;október;2 177,9;79,9;2 257,8;1 550,7;3 808,4;141,1;59,3;3,5;57,2
;november;2 138,8;77,9;2 216,7;1 590,1;3 806,8;169,9;58,2;3,5;56,2
;december;2 170,1;57,1;2 227,2;1 578,1;3 805,3;132,8;58,5;2,6;57,0
2020.;január;2 153,9;86,8;2 240,7;1 562,9;3 803,5;164,0;58,9;3,9;56,6
;február;2 159,3;85,1;2 244,4;1 560,1;3 804,5;159,5;59,0;3,8;56,8
;március;2 134,3;71,0;2 205,3;1 598,3;3 803,6;179,8;58,0;3,2;56,1
;április;2 111,1;91,6;2 202,7;1 599,9;3 802,6;219,3;57,9;4,2;55,5
;május;2 114,7;95,9;2 210,6;1 591,0;3 801,7;219,4;58,1;4,3;55,6
;június;2 144,5;119,1;2 263,6;1 537,2;3 800,9;246,0;59,6;5,3;56,4
;július;2 148,5;103,2;2 251,7;1 548,3;3 800,0;203,1;59,3;4,6;56,5
;augusztus;2 147,8;93,8;2 241,7;1 557,6;3 799,3;176,7;59,0;4,2;56,5
;szeptember;2 152,3;95,8;2 248,1;1 550,3;3 798,4;197,5;59,2;4,3;56,7
;október;2 141,6;91,3;2 232,8;1 564,8;3 797,7;186,1;58,8;4,1;56,4
;november;2 120,3;91,2;2 211,5;1 585,1;3 796,6;176,6;58,2;4,1;55,8
;december;2 165,7;95,6;2 261,3;1 533,8;3 795,1;198,7;59,6;4,2;57,1
2021.;január;2 101,6;117,1;2 218,6;1 574,7;3 793,3;248,2;58,5;5,3;55,4
;február;2 091,7;103,6;2 195,3;1 586,5;3 781,8;227,7;58,0;4,7;55,3
;március;2 141,1;105,0;2 246,1;1 534,0;3 780,1;235,4;59,4;4,7;56,6
;április;2 142,6;91,9;2 234,5;1 542,7;3 777,2;189,0;59,2;4,1;56,7
;május;2 118,8;94,0;2 212,8;1 561,5;3 774,3;173,7;58,6;4,2;56,1
;június;2 205,1;94,8;2 299,8;1 475,6;3 775,5;182,3;60,9;4,1;58,4
;július;2 198,8;86,8;2 285,6;1 488,5;3 774,1;..;60,6;3,8;58,3
;augusztus;2 175,4;95,8;2 271,1;1 501,5;3 772,7;..;60,2;4,2;57,7
;szeptember;2 189,7;91,1;2 280,8;1 490,6;3 771,4;..;60,5;4,0;58,1
;október;2 187,5;92,4;2 279,9;1 490,1;3 770,0;..;60,5;4,1;58,0
;november;2 179,3;87,5;2 266,9;1 501,5;3 768,4;..;60,2;3,9;57,8
;december;2 186,6;82,6;2 269,3;1 496,8;3 766,0;..;60,3;3,6;58,1
2022.;január;2 168,9;98,0;2 266,9;1 496,6;3 763,5;..;60,2;4,3;57,6
;február;2 175,4;89,5;2 265,0;1 502,0;3 767,0;..;60,1;4,0;57,8
;március;2 204,3;86,5;2 290,8;1 474,3;3 765,1;..;60,8;3,8;58,5
;április;2 209,4;85,3;2 294,7;1 468,4;3 763,1;..;61,0;3,7;58,7
;május;2 209,9;81,0;2 290,9;1 470,4;3 761,3;..;60,9;3,5;58,8
;június;2 242,3;76,0;2 318,3;1 441,3;3 759,6;..;61,7;3,3;59,6
;július;2 228,9;80,7;2 309,6;1 448,5;3 758,1;..;61,5;3,5;59,3
;augusztus;2 221,5;83,3;2 304,8;1 451,7;3 756,5;..;61,4;3,6;59,1
;szeptember;2 218,0;87,5;2 305,5;1 449,3;3 754,8;..;61,4;3,8;59,1
;október;2 223,0;85,6;2 308,6;1 444,8;3 753,3;..;61,5;3,7;59,2
;november;;;;;;;;;
;december;;;;;;;;;
