20.2.1.14. A 15–74 éves népesség száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
;II.;43,0;610,4;1 110,2;411,0;650,3;329,7;430,4;3 584,8
;III.;38,6;604,6;1 106,0;405,7;665,4;329,5;428,7;3 578,5
;IV.;37,0;601,1;1 087,7;396,7;683,8;337,3;431,0;3 574,6
2022.;I. ;41,8;599,3;1 072,5;387,8;701,2;351,9;417,6;3 572,1
;II.;43,2;596,4;1 075,4;379,3;701,0;357,7;417,2;3 570,1
;III.;37,2;588,9;1 087,1;393,6;708,3;343,1;408,7;3 566,9
;IV.;;;;;;;;
nõ;;;;;;;;;
2009.;I.;122,2;1 187,2;651,9;556,4;799,9;465,4;220,4;4 003,6
;II.;121,7;1 183,9;654,3;551,2;789,9;479,1;220,7;4 000,9
;III.;115,6;1 158,7;650,2;551,3;804,9;486,0;231,5;3 998,2
;IV.;107,5;1 168,2;653,0;554,3;804,8;481,2;226,5;3 995,5
2010.;I.;105,7;1 160,5;647,8;557,1;821,0;467,2;233,5;3 992,8
;II.;106,4;1 154,2;654,4;549,6;816,7;470,0;238,7;3 990,1
;III.;101,5;1 138,2;656,9;551,5;820,8;483,6;235,0;3 987,4
;IV.;97,8;1 133,7;658,0;555,1;810,1;496,7;233,3;3 984,7
2011.;I.;93,9;1 133,6;653,6;551,7;809,6;500,8;238,9;3 982,1
;II.;91,7;1 141,8;662,5;548,8;794,0;492,6;248,0;3 979,4
;III.;90,4;1 115,7;660,4;553,2;791,0;508,3;257,6;3 976,6
;IV.;86,0;1 099,3;657,0;552,4;803,5;512,8;260,8;3 971,7
2012.;I.;85,3;1 078,3;650,3;545,8;815,0;526,7;263,3;3 964,8
;II.;85,9;1 077,8;655,3;530,5;815,4;525,8;270,2;3 960,9
;III.;81,3;1 066,4;640,3;540,5;816,9;539,3;273,0;3 957,6
;IV.;83,1;1 055,4;653,6;529,0;813,6;545,7;274,3;3 954,6
2013.;I.;83,8;1 051,4;656,2;529,6;806,4;554,1;268,8;3 950,3
;II.;81,5;1 037,5;654,9;540,8;806,2;555,1;268,5;3 944,5
;III.;75,6;1 011,0;676,3;569,1;794,0;547,5;265,8;3 939,3
;IV.;77,0;994,6;688,0;563,7;791,2;548,0;271,7;3 934,1
2014.;I.;73,6;981,0;686,0;558,4;794,0;552,7;282,6;3 928,3
;II.;71,9;977,8;674,6;564,2;793,9;563,4;276,3;3 922,2
;III.;66,3;950,4;651,6;590,1;797,0;573,2;288,0;3 916,6
;IV.;68,5;950,1;664,6;596,6;764,4;570,6;295,8;3 910,7
2015.;I.;73,2;956,3;669,4;592,6;754,7;571,0;286,8;3 903,9
;II.;76,0;941,2;661,9;598,7;745,8;576,7;298,0;3 898,2
;III.;65,8;920,7;663,5;639,1;725,8;572,9;307,4;3 895,1
;IV.;71,3;915,0;671,8;637,5;727,7;566,7;299,4;3 889,4
2016.;I.;71,2;924,5;671,7;629,1;729,4;561,1;294,7;3 881,7
;II.;67,7;914,6;669,0;634,1;740,4;570,5;280,2;3 876,4
;III.;61,3;901,1;662,0;650,0;741,0;571,7;287,4;3 874,6
;IV.;59,3;908,5;666,5;630,4;742,9;576,4;285,6;3 869,6
2017.;I.;60,4;897,4;679,6;615,0;748,5;574,0;286,4;3 861,2
;II.;64,9;888,2;673,4;614,4;743,9;578,5;287,6;3 850,9
;III.;57,5;879,7;676,6;635,3;750,8;562,6;280,7;3 843,2
;IV.;60,3;855,5;681,7;621,6;757,4;559,1;300,4;3 836,0
2018.;I.;67,5;841,0;671,8;621,1;745,9;566,6;318,4;3 832,2
;II.;64,3;843,2;675,1;627,9;736,3;553,6;329,7;3 830,1
;III.;52,6;818,6;674,5;633,2;752,1;552,4;342,8;3 826,1
;IV.;56,6;810,5;685,0;613,5;735,3;553,5;366,7;3 821,0
2019.;I.;56,1;818,1;664,2;615,7;716,6;568,8;377,7;3 817,3
;II.;61,7;818,9;661,0;625,9;713,6;581,7;352,0;3 814,9
;III.;57,0;790,7;646,2;650,3;710,2;592,1;364,9;3 811,4
;IV.;53,7;778,5;656,6;655,4;702,5;585,0;375,1;3 806,9
2020.;I.;57,6;804,6;642,1;637,4;711,9;580,4;370,0;3 803,9
;II.;51,0;750,9;632,7;619,9;745,7;600,4;401,1;3 801,7
;III.;52,6;776,8;647,4;635,5;695,0;584,2;407,8;3 799,2
;IV.;56,1;766,9;644,4;625,6;682,5;590,5;430,5;3 796,4
2021.;I. ;55,6;743,6;636,8;606,8;703,4;603,1;435,8;3 785,1
;II.;51,6;747,0;643,7;608,9;684,3;611,2;429,0;3 775,7
;III.;45,9;743,7;636,8;598,9;687,3;620,2;439,9;3 772,7
;IV.;48,6;720,7;625,2;584,7;724,7;626,9;437,4;3 768,1
2022.;I. ;52,0;724,6;610,6;605,4;719,4;623,2;430,0;3 765,2
;II.;51,2;709,1;610,3;613,1;718,3;621,2;438,3;3 761,4
;III.;45,0;691,5;622,4;631,9;723,1;610,2;432,4;3 756,5
;IV.;;;;;;;;
