14.1.1.37. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Vaj, vajkrém;0,7;1,1;1,0;0,9;0,7;0,9;1,9;1,6;1,3;1,0;1,5;1,9;1,7;2,0;1,7;2,0
Margarin és növényi zsírok;2,8;2,4;2,2;2,3;2,4;2,3;5,4;4,0;4,7;3,3;4,4;5,4;4,5;6,0;4,8;6,0
Étolaj, olívaolaj;7,3;7,6;7,3;8,3;8,5;7,8;15,2;12,5;12,9;9,8;12,7;15,2;12,8;16,9;14,0;16,5
Állati zsíradék;1,8;1,1;1,0;1,2;1,3;1,2;3,2;1,9;3,1;2,0;2,5;3,2;3,7;2,8;3,1;3,2
Zsiradék összesen;12,7;12,2;11,5;12,7;12,8;12,3;25,7;19,9;22,0;16,1;21,1;25,7;22,6;27,7;23,6;27,8
Citrusfélék;4,6;6,9;5,3;4,3;4,4;5,2;15,0;9,6;9,9;5,3;10,2;15,0;13,7;15,8;15,8;14,1
Banán;4,7;4,8;4,7;3,7;3,9;4,4;9,4;6,7;6,2;4,5;6,8;9,4;9,0;9,7;10,4;8,4
Alma;6,6;8,3;6,5;6,0;7,8;7,2;17,9;14,1;14,2;7,6;13,7;17,9;16,7;18,7;15,2;20,8
Körte;0,6;1,1;0,8;0,6;0,9;0,8;1,6;1,7;1,8;0,8;1,5;1,6;2,0;1,4;1,6;1,7
Õszibarack;1,8;1,5;2,3;2,0;1,1;1,7;4,9;3,2;3,7;2,8;3,7;4,9;3,6;5,7;3,7;6,1
