20.2.1.36. A gazdaságilag nem aktívak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen
Együtt ;;;;;;;;;;;;;;
;II.;447,8;227,7;88,5;67,4;56,3;61,7;67,3;62,3;104,0;309,5;574,8;476,0;2 543,3
;III.;440,2;221,4;83,8;63,5;54,7;57,6;65,8;67,5;99,2;295,1;571,4;477,8;2 498,1
;IV.;448,0;218,9;78,4;59,2;53,7;51,8;60,8;68,7;103,1;282,8;568,0;481,1;2 474,5
2022.;I.;451,3;230,4;76,2;56,1;55,5;56,9;60,5;66,1;102,0;274,1;570,3;482,4;2 481,9
;II.;453,3;239,5;77,8;57,1;52,4;55,3;62,9;64,4;98,9;270,9;566,0;482,9;2 481,3
;III.;445,3;221,2;73,3;56,7;48,1;49,6;60,7;67,3;103,7;262,4;561,0;483,7;2 433,0
;IV.;;;;;;;;;;;;;
Ebbõl:;;;;;;;;;;;;;;
férfi;;;;;;;;;;;;;;
2009.;I.;285,4;165,7;45,1;27,2;33,3;39,8;58,8;74,1;135,4;218,1;199,6;155,4;1 438,0
;II.;284,7;161,1;44,3;23,7;31,1;37,7;53,2;72,7;132,1;218,3;199,6;154,2;1 412,7
;III.;284,0;154,3;48,1;23,9;30,0;37,7;53,3;73,8;129,5;220,9;197,7;155,4;1 408,5
;IV.;283,5;156,6;45,8;27,6;29,7;37,7;52,6;72,6;132,1;224,6;197,1;156,4;1 416,3
2010.;I.;285,3;158,8;44,6;31,1;33,8;38,5;52,6;75,0;135,2;227,2;199,3;156,9;1 438,3
;II.;285,2;158,1;44,5;26,8;29,7;39,2;46,9;72,3;130,0;226,7;201,8;155,5;1 416,7
;III.;281,6;156,5;44,8;23,9;26,6;40,5;46,3;70,1;128,1;228,1;202,1;155,4;1 404,0
;IV.;279,8;157,6;43,1;24,3;31,6;40,5;45,0;71,7;129,4;232,9;202,1;155,9;1 414,0
2011.;I.;283,1;157,9;44,4;30,1;32,4;43,1;43,7;72,3;130,6;232,0;202,0;155,6;1 427,1
;II.;282,6;160,2;41,8;23,0;26,6;37,8;41,3;68,8;130,3;232,2;202,0;156,1;1 402,5
;III.;277,8;155,4;40,3;23,4;24,0;40,6;36,7;60,6;125,4;233,5;201,5;155,0;1 374,1
;IV.;277,7;164,6;39,4;24,1;24,7;37,7;41,4;61,1;124,7;234,8;201,9;155,0;1 387,3
2012.;I.;278,1;169,1;38,2;23,6;28,0;37,4;40,3;59,4;127,9;237,5;202,1;156,8;1 398,5
;II.;274,0;165,4;40,5;20,5;26,2;34,5;37,0;57,1;116,2;235,0;202,4;158,6;1 367,3
;III.;267,6;154,8;35,8;18,9;26,7;33,3;40,8;54,0;111,1;237,8;205,3;160,6;1 346,7
;IV.;267,1;147,1;39,1;21,2;27,7;33,4;37,5;55,4;110,3;238,7;206,7;162,3;1 346,7
2013.;I.;265,4;154,9;39,8;26,1;34,3;34,8;40,7;63,1;107,4;236,6;210,2;163,2;1 376,4
;II.;261,8;153,3;38,3;21,7;26,0;32,8;36,3;52,3;97,8;231,3;209,2;165,4;1 326,1
;III.;254,6;138,9;36,8;23,4;24,3;28,3;36,3;49,8;97,8;225,1;211,8;165,7;1 292,8
