20.2.1.33. Munkanélküliségi ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
;IV.;48,6;24,3;10,4;7,6;8,2;8,9;10,3;10,1;9,6;5,5;             ...;             ...;10,1;25,6
2012.;I.;47,7;24,7;11,3;9,0;9,6;8,2;10,7;11,1;10,4;4,4;             ...;             ...;10,8;25,8
;II.;36,0;24,4;10,8;8,0;8,9;7,6;8,9;9,6;8,8;4,2;             ...;             ...;9,7;25,0
;III.;48,8;25,9;10,8;7,5;8,1;7,7;8,6;7,7;7,7;5,7;             ...;             ...;9,5;27,3
;IV.;55,5;24,8;11,7;7,7;8,8;8,4;9,0;8,0;7,3;5,9;             ...;             ...;9,8;26,8
2013.;I.;59,8;27,4;10,4;8,6;8,6;8,9;9,7;8,4;7,5;4,5;             ...;             ...;10,1;29,4
;II.;53,9;23,7;9,3;8,5;7,7;9,6;9,1;7,7;8,2;6,6;             ...;             ...;9,6;26,2
;III.;45,5;25,3;9,3;7,8;8,0;8,5;8,3;7,3;8,3;6,1;             ...;             ...;9,4;26,9
;IV.;52,3;22,8;10,5;6,9;6,8;8,1;9,1;6,2;6,9;7,3;             ...;             ...;8,8;24,7
2014.;I.;37,3;21,0;10,4;6,4;6,6;6,8;7,8;5,2;6,4;4,1;             ...;             ...;8,0;22,2
;II.;34,8;19,9;10,5;7,3;5,9;7,1;6,6;4,8;6,1;6,8;             ...;             ...;7,8;21,0
;III.;35,9;20,5;8,7;7,0;6,0;6,5;4,7;4,7;6,2;6,4;             ...;             ...;7,3;21,8
;IV.;28,3;14,9;7,4;7,3;7,2;6,3;4,6;4,8;5,9;3,3;             ...;             ...;6,8;16,0
2015.;I.;41,2;15,6;9,8;6,4;7,3;6,4;5,6;5,5;6,2;7,2;             ...;             ...;7,4;17,3
