20.2.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Hajdú-Bihar;megye;238,0;12,0;250,0;85,7;335,7;18,1;74,5;4,8;70,9
Jász-Nagykun-Szolnok;megye;163,2;8,0;171,2;53,8;225,0;10,6;76,1;4,7;72,5
Szabolcs-Szatmár-Bereg;megye;238,4;19,9;258,3;91,4;349,7;33,5;73,9;7,7;68,2
Észak-Alföld;régió;639,6;39,9;679,5;231,0;910,5;62,2;74,6;5,9;70,2
Bács-Kiskun;megye;231,7;9,2;241,0;73,9;314,9;14,8;76,5;3,8;73,6
Békés;megye;141,5;8,6;150,0;49,6;199,6;12,4;75,2;5,7;70,9
Csongrád-Csanád;megye;186,9;2,8;189,7;57,7;247,4;4,8;76,7;1,5;75,5
Dél-Alföld;régió;560,1;20,7;580,7;181,2;762,0;32,0;76,2;3,6;73,5
Alföld és Észak;nagyrégió;1 675,9;90,0;1 765,9;599,1;2 365,0;144,5;74,7;5,1;70,9
Összesen;ország;4 586,4;153,9;4 740,3;1 432,4;6 172,8;255,1;76,8;3,2;74,3
2022. III. negyedév;;;;;;;;;;
Budapest;fõváros, régió;859,6;24,0;883,6;198,5;1 082,1;34,9;81,7;2,7;79,4
Pest;megye, régió;660,8;15,4;676,2;189,5;865,8;23,0;78,1;2,3;76,3
Közép-Magyarország;nagyrégió;1 520,4;39,5;1 559,9;388,0;1 947,9;57,9;80,1;2,5;78,1
Fejér;megye;209,0;5,1;214,1;56,5;270,6;9,2;79,1;2,4;77,2
Komárom-Esztergom;megye;152,2;2,5;154,7;38,9;193,6;4,7;79,9;1,6;78,6
Veszprém;megye;163,6;2,4;166,0;47,0;213,0;4,6;77,9;1,5;76,8
Közép-Dunántúl;régió;524,8;10,0;534,8;142,4;677,2;18,5;79,0;1,9;77,5
Gyõr-Moson-Sopron;megye;249,3;6,3;255,6;57,8;313,4;8,8;81,6;2,5;79,6
Vas;megye;122,5;2,4;124,9;39,3;164,2;4,4;76,1;1,9;74,6
Zala;megye;123,7;5,9;129,7;36,2;165,9;10,6;78,2;4,6;74,6
Nyugat-Dunántúl;régió;495,6;14,6;510,2;133,3;643,5;23,8;79,3;2,9;77,0
Baranya;megye;158,0;7,6;165,6;56,8;222,4;9,9;74,4;4,6;71,0
Somogy;megye;125,4;7,1;132,5;51,4;183,9;11,8;72,1;5,4;68,2
Tolna;megye;95,6;4,3;100,0;31,3;131,2;6,2;76,2;4,4;72,9
Dél-Dunántúl;régió;379,0;19,0;398,0;139,5;537,5;27,9;74,0;4,8;70,5
Dunántúl;nagyrégió;1 399,4;43,7;1 443,0;415,2;1 858,2;70,2;77,7;3,0;75,3
Borsod-Abaúj-Zemplén;megye;276,1;16,9;293,0;101,0;394,0;28,9;74,4;5,8;70,1
Heves;megye;126,8;7,3;134,0;46,2;180,2;12,8;74,4;5,4;70,4
Nógrád;megye;81,3;7,3;88,6;28,0;116,7;9,0;76,0;8,2;69,7
Észak-Magyarország;régió;484,2;31,5;515,7;175,2;690,8;50,7;74,6;6,1;70,1
Hajdú-Bihar;megye;239,3;10,7;250,0;85,2;335,2;16,4;74,6;4,3;71,4
Jász-Nagykun-Szolnok;megye;162,8;8,7;171,5;53,1;224,6;14,0;76,4;5,1;72,5
Szabolcs-Szatmár-Bereg;megye;240,8;20,1;260,9;87,4;348,3;30,5;74,9;7,7;69,1
Észak-Alföld;régió;642,9;39,6;682,5;225,6;908,1;60,9;75,2;5,8;70,8
Bács-Kiskun;megye;230,2;8,4;238,6;76,0;314,5;13,8;75,8;3,5;73,2
Békés;megye;140,1;8,9;149,0;49,7;198,7;13,5;75,0;6,0;70,5
Csongrád-Csanád;megye;184,1;4,3;188,4;58,6;247,1;7,0;76,3;2,3;74,5
Dél-Alföld;régió;554,4;21,6;576,0;184,3;760,3;34,4;75,8;3,8;72,9
Alföld és Észak;nagyrégió;1 681,4;92,7;1 774,1;585,1;2 359,3;145,9;75,2;5,2;71,3
Összesen;ország;4 601,2;175,8;4 777,0;1 388,3;6 165,3;274,0;77,5;3,7;74,6
