20.2.1.12. A munkavállalási korú népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;Munkavállalási korú népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;IV.;2 404,5;90,0;2 494,5;593,1;3 087,6;155,4;80,8;3,6;77,9
2019.;I.;2 434,2;89,6;2 523,8;628,0;3 151,8;153,3;80,1;3,5;77,2
;II.;2 429,0;87,3;2 516,3;635,6;3 152,0;152,1;79,8;3,5;77,1
;III.;2 440,2;83,4;2 523,6;626,1;3 149,7;143,9;80,1;3,3;77,5
;IV.;2 440,1;81,1;2 521,1;624,3;3 145,5;141,0;80,2;3,2;77,6
2020.;I.;2 414,8;91,4;2 506,2;634,5;3 140,6;167,2;79,8;3,6;76,9
;II.;2 385,2;111,8;2 497,0;639,7;3 136,7;205,1;79,6;4,5;76,0
;III.;2 431,3;108,7;2 540,0;593,0;3 133,0;183,3;81,1;4,3;77,6
;IV.;2 432,6;102,0;2 534,7;594,5;3 129,1;175,8;81,0;4,0;77,7
2021.;I.;2 407,0;104,0;2 510,9;604,9;3 115,8;193,2;80,6;4,1;77,2
;II.;2 409,8;103,7;2 513,4;590,2;3 103,7;181,3;81,0;4,1;77,6
;III.;2 422,3;97,1;2 519,4;575,9;3 095,3;158,8;81,4;3,9;78,3
;IV.;2 429,4;89,1;2 518,5;570,7;3 089,2;145,8;81,5;3,5;78,6
2022.;I.;2 437,1;98,3;2 535,4;602,3;3 137,7;151,4;80,8;3,9;77,7
;II.;2 447,1;85,9;2 533,0;603,3;3 136,3;134,0;80,8;3,4;78,0
;III.;2 454,2;96,2;2 550,4;582,6;3 133,0;141,9;81,4;3,8;78,3
;IV.;;;;;;;;;
nõ;;;;;;;;;;
2009.;I.;1 836,8;177,9;2 014,7;1 242,2;3 257,0;297,5;61,9;8,8;56,4
;II.;1 844,5;175,5;2 019,9;1 237,3;3 257,2;298,8;62,0;8,7;56,6
;III.;1 846,4;191,0;2 037,4;1 220,6;3 258,0;322,3;62,5;9,4;56,7
;IV.;1 843,6;195,2;2 038,7;1 215,0;3 253,8;326,9;62,7;9,6;56,7
2010.;I.;1 840,4;210,8;2 051,2;1 196,0;3 247,2;343,4;63,2;10,3;56,7
;II.;1 852,6;203,4;2 055,9;1 189,6;3 245,5;335,5;63,3;9,9;57,1
;III.;1 858,4;208,1;2 066,5;1 178,9;3 245,3;342,1;63,7;10,1;57,3
;IV.;1 857,2;205,2;2 062,4;1 179,3;3 241,7;343,8;63,6;10,0;57,3
2011.;I.;1 836,7;216,6;2 053,3;1 183,9;3 237,2;361,2;63,4;10,5;56,7
;II.;1 848,5;212,7;2 061,2;1 174,1;3 235,3;352,3;63,7;10,3;57,1
;III.;1 857,2;212,4;2 069,5;1 153,7;3 223,2;360,9;64,2;10,3;57,6
;IV.;1 861,5;211,8;2 073,3;1 136,6;3 209,9;360,9;64,6;10,2;58,0
2012.;I.;1 838,2;224,7;2 062,9;1 136,5;3 199,5;376,6;64,5;10,9;57,5
;II.;1 874,3;204,4;2 078,7;1 111,4;3 190,1;363,2;65,2;9,8;58,8
;III.;1 907,8;201,7;2 109,5;1 071,4;3 180,9;368,7;66,3;9,6;60,0
;IV.;1 887,5;207,3;2 094,8;1 084,1;3 178,9;380,9;65,9;9,9;59,4
2013.;I.;1 865,0;211,2;2 076,2;1 101,9;3 178,2;383,5;65,3;10,2;58,7
;II.;1 894,1;202,3;2 096,4;1 072,4;3 168,7;369,6;66,2;9,6;59,8
;III.;1 910,5;199,3;2 109,8;1 046,6;3 156,4;355,0;66,8;9,4;60,5
;IV.;1 921,1;185,8;2 106,9;1 037,2;3 144,1;338,2;67,0;8,8;61,1
2014.;I.;1 954,4;170,6;2 125,0;1 006,9;3 131,9;323,9;67,8;8,0;62,4
;II.;1 961,6;166,7;2 128,4;993,5;3 121,9;304,0;68,2;7,8;62,8
;III.;1 989,6;158,0;2 147,6;966,4;3 114,0;286,4;69,0;7,4;63,9
;IV.;1 989,5;146,8;2 136,3;967,1;3 103,4;274,9;68,8;6,9;64,1
2015.;I.;1 990,0;161,0;2 151,0;1 008,5;3 159,5;290,6;68,1;7,5;63,0
;II.;2 017,8;146,2;2 164,0;992,2;3 156,2;254,4;68,6;6,8;63,9
;III.;2 044,3;140,3;2 184,5;971,2;3 155,7;241,4;69,2;6,4;64,8
;IV.;2 043,9;133,9;2 177,7;963,1;3 140,8;235,6;69,3;6,1;65,1
2016.;I.;2 047,6;125,3;2 172,9;964,2;3 137,1;231,2;69,3;5,8;65,3
;II.;2 088,3;102,2;2 190,5;942,0;3 132,6;197,3;69,9;4,7;66,7
;III.;2 105,4;103,0;2 208,4;918,2;3 126,6;188,0;70,6;4,7;67,3
;IV.;2 115,4;93,1;2 208,4;910,4;3 118,8;180,9;70,8;4,2;67,8
2017.;I.;2 096,8;97,3;2 194,1;985,3;3 179,3;194,4;69,0;4,4;66,0
;II.;2 100,1;95,0;2 195,1;971,3;3 166,4;182,4;69,3;4,3;66,3
;III.;2 113,4;96,2;2 209,6;941,2;3 150,8;177,0;70,1;4,4;67,1
;IV.;2 115,7;92,2;2 207,9;938,1;3 146,0;166,7;70,2;4,2;67,3
2018.;I.;2 110,6;89,2;2 199,8;936,0;3 135,8;163,9;70,2;4,1;67,3
;II.;2 129,4;76,7;2 206,1;921,2;3 127,2;157,4;70,5;3,5;68,1
;III.;2 132,5;92,1;2 224,6;891,2;3 115,7;158,6;71,4;4,1;68,4
;IV.;2 131,9;74,4;2 206,3;907,9;3 114,2;144,8;70,8;3,4;68,5
2019.;I.;2 129,8;74,6;2 204,3;984,3;3 188,6;143,3;69,1;3,4;66,8
;II.;2 137,1;67,2;2 204,3;977,8;3 182,1;138,6;69,3;3,0;67,2
;III.;2 135,7;77,1;2 212,7;961,2;3 174,0;151,5;69,7;3,5;67,3
;IV.;2 127,9;71,2;2 199,1;965,7;3 164,8;144,8;69,5;3,2;67,2
2020.;I.;2 112,6;79,6;2 192,3;964,5;3 156,8;163,6;69,4;3,6;66,9
;II.;2 079,0;102,0;2 181,1;968,3;3 149,4;223,6;69,3;4,7;66,0
;III.;2 113,5;97,3;2 210,7;930,9;3 141,6;185,2;70,4;4,4;67,3
;IV.;2 105,3;91,5;2 196,8;937,0;3 133,8;182,0;70,1;4,2;67,2
2021.;I.;2 069,4;106,4;2 175,8;943,6;3 119,4;227,9;69,7;4,9;66,3
;II.;2 114,6;91,4;2 206,0;902,1;3 108,2;175,6;71,0;4,1;68,0
;III.;2 138,5;90,1;2 228,6;873,0;3 101,6;156,3;71,9;4,0;68,9
;IV.;2 150,6;88,5;2 239,1;854,7;3 093,7;147,4;72,4;4,0;69,5
2022.;I.;2 154,4;80,7;2 235,1;927,9;3 163,0;140,8;70,7;3,6;68,1
;II.;2 162,3;68,2;2 230,5;922,9;3 153,4;121,9;70,7;3,1;68,6
;III.;2 170,0;79,9;2 249,8;896,7;3 146,5;132,8;71,5;3,5;69,0
;IV.;;;;;;;;;
