20.2.1.5. A 15–64 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;"Ebbõl: Potenciális munkaerõ-
tartalék, ezer fõ";Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;szeptember–november;2 232,8;168,1;2 400,8;838,2;3 239,0;281,3;74,1;7,0;68,9
;október–december;2 221,2;170,5;2 391,7;845,1;3 236,8;286,9;73,9;7,1;68,6
;november–2015. január;2 208,6;176,5;2 385,1;849,3;3 234,5;300,9;73,7;7,4;68,3
;december–2015. február;2 207,1;187,2;2 394,3;837,8;3 232,1;310,3;74,1;7,8;68,3
2015.;január–március;2 204,8;185,8;2 390,6;839,2;3 229,8;305,5;74,0;7,8;68,3
;február–április;2 218,9;183,6;2 402,5;825,1;3 227,6;298,8;74,4;7,6;68,7
;március–május;2 234,3;172,3;2 406,6;818,8;3 225,4;286,7;74,6;7,2;69,3
;április–június;2 261,1;162,7;2 423,8;800,9;3 224,6;272,0;75,2;6,7;70,1
;május–július;2 277,8;157,5;2 435,3;788,6;3 223,9;265,8;75,5;6,5;70,7
;június–augusztus;2 291,6;154,3;2 445,9;777,6;3 223,5;259,5;75,9;6,3;71,1
;július–szeptember;2 298,1;151,0;2 449,1;772,4;3 221,6;253,6;76,0;6,2;71,3
;augusztus–október;2 298,5;151,4;2 449,8;769,7;3 219,6;251,3;76,1;6,2;71,4
;szeptember–november;2 299,8;151,0;2 450,8;766,8;3 217,6;247,1;76,2;6,2;71,5
;október–december;2 295,6;145,6;2 441,2;774,4;3 215,6;246,6;75,9;6,0;71,4
;november–2016. január;2 287,4;147,7;2 435,1;778,5;3 213,6;250,8;75,8;6,1;71,2
;december–2016. február;2 286,5;147,7;2 434,1;776,9;3 211,0;257,0;75,8;6,1;71,2
2016.;január–március;2 292,7;146,7;2 439,4;769,0;3 208,4;251,2;76,0;6,0;71,5
;február–április;2 316,3;139,1;2 455,4;750,5;3 205,9;232,7;76,6;5,7;72,3
;március–május;2 323,7;133,7;2 457,4;746,5;3 203,9;221,6;76,7;5,4;72,5
;április–június;2 336,1;131,1;2 467,2;736,6;3 203,8;213,2;77,0;5,3;72,9
;május–július;2 345,6;125,9;2 471,4;732,5;3 203,9;210,1;77,1;5,1;73,2
;június–augusztus;2 354,6;122,0;2 476,6;727,5;3 204,1;204,7;77,3;4,9;73,5
;július–szeptember;2 356,4;121,6;2 478,0;724,5;3 202,5;203,0;77,4;4,9;73,6
;augusztus–október;2 364,6;114,4;2 479,0;721,9;3 200,9;192,9;77,4;4,6;73,9
