21.2.1.28. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;
Év;Idõszak (negyedév);Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: ezen belül: kereskedelem, gépjármûjavítás;Ebbõl: ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"Ebbõl: ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";Ebbõl: ezen belül: oktatás;Ebbõl: ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
;II.;162,0;874,3;791,3;253,6;2 661,7;985,4;..;..;..;109,4;92,6;66,3;365,3;877,2;..;..;..;165,6;3 951,6
;III.;205,7;891,2;792,3;254,8;2 694,7;1 022,5;..;..;..;110,5;96,1;66,5;357,4;872,7;..;..;..;168,9;4 046,4
;IV.;180,5;873,0;781,1;276,8;2 644,5;995,7;..;..;..;109,4;96,5;70,6;345,6;863,5;..;..;..;163,1;3 974,7
2012.;I.;157,9;870,8;807,7;264,3;2 567,8;1 027,2;..;..;..;101,5;103,0;69,5;291,2;826,6;..;..;..;148,8;3 860,8
;II.;193,5;904,5;808,7;261,3;2 650,9;1 014,2;..;..;..;106,9;100,4;67,4;303,8;896,4;..;..;..;161,8;4 010,3
;III.;216,7;920,5;810,3;263,1;2 658,9;1 002,4;..;..;..;107,8;101,0;67,7;314,2;898,4;..;..;..;167,3;4 059,2
;IV.;200,1;892,3;796,1;280,1;2 632,1;984,3;..;..;..;107,7;98,4;69,5;316,1;896,5;..;..;..;159,7;4 004,6
2013.;I.;152,0;851,2;781,8;255,4;2 629,7;1 011,5;..;..;..;105,9;97,1;72,7;335,7;841,9;..;..;..;164,8;3 888,3
;II.;180,7;869,0;778,1;255,5;2 743,4;1 013,5;..;..;..;114,0;92,2;62,5;347,1;944,0;..;..;..;170,3;4 048,7
;III.;195,2;890,0;790,1;254,6;2 780,2;1 014,9;..;..;..;118,1;91,8;62,9;360,2;956,2;..;..;..;176,2;4 119,9
;IV.;159,7;857,6;781,2;269,1;2 796,3;1 010,9;..;..;..;119,1;92,3;70,4;365,3;967,7;..;..;..;170,6;4 082,7
2014.;I.;142,5;867,5;793,4;267,5;2 799,8;1 032,4;..;..;..;116,0;92,6;70,9;412,5;898,0;..;..;..;177,3;4 077,3
;II.;179,5;884,0;792,4;266,6;2 901,8;1 038,2;..;..;..;122,8;91,7;63,6;428,7;972,5;..;..;..;184,4;4 231,9
;III.;202,4;904,9;803,6;263,5;2 955,9;1 032,2;..;..;..;125,6;92,2;65,1;437,0;1 016,1;..;..;..;187,6;4 326,8
;IV.;171,3;878,8;798,4;271,3;2 918,4;1 028,3;..;..;..;127,1;93,6;65,9;444,3;981,7;..;..;..;177,5;4 239,7
2015.;I.;144,9;866,9;791,0;270,5;2 907,2;1 060,0;655,5;147,3;257,3;124,0;92,7;71,0;426,0;941,9;402,5;264,1;275,3;191,7;4 189,6
;II.;176,8;861,2;773,7;263,7;3 021,1;1 053,7;634,5;160,1;259,1;128,6;88,7;63,3;465,0;1 029,6;448,0;281,4;300,2;192,2;4 322,8
;III.;202,7;894,9;804,1;255,2;3 055,9;1 052,7;631,0;167,0;254,7;129,5;88,6;64,9;475,1;1 048,7;467,2;277,4;304,2;196,4;4 408,8
;IV.;175,8;884,7;804,3;264,4;3 005,1;1 048,1;613,3;180,1;254,6;129,3;88,2;64,1;470,3;1 015,7;448,6;260,5;306,6;189,3;4 330,1
