20.2.1.39. Aktivitási arány korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen ;"Ebbõl: 
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
;II.;9,3;60,4;90,4;96,5;96,0;95,5;93,3;89,7;82,1;51,2;9,7;4,5;70,2;36,6
;III.;9,5;63,0;90,2;96,3;95,2;94,8;93,0;89,1;83,1;54,5;10,2;5,2;70,6;38,1
;IV.;10,0;62,1;90,1;95,1;95,6;94,2;91,7;89,7;83,4;57,6;11,8;5,6;70,7;37,7
2019.;I.;9,6;60,4;90,8;94,9;95,6;95,3;93,2;91,8;83,2;60,0;11,2;5,0;71,1;36,5
;II.;10,6;60,7;89,8;95,8;95,3;95,1;92,2;91,2;82,5;59,1;12,1;6,3;71,0;37,1
;III.;11,7;62,2;89,3;96,1;95,5;94,8;92,5;91,0;83,4;58,7;13,7;6,4;71,3;38,3
;IV.;9,8;61,3;89,9;95,1;95,1;95,4;92,3;91,5;81,9;61,5;13,1;6,6;71,2;37,0
2020.;I.;8,2;61,2;89,4;95,3;94,1;95,2;92,1;90,3;82,7;61,5;11,8;5,8;70,7;35,9
;II.;6,8;58,3;89,2;93,3;94,2;94,8;93,1;91,1;82,8;64,5;12,7;6,6;70,5;33,2
;III.;9,4;62,3;90,8;95,3;93,4;95,6;93,0;92,2;84,4;66,8;13,1;5,8;71,7;36,9
;IV.;7,6;61,0;90,7;95,2;94,1;96,0;93,0;92,3;83,9;67,6;12,6;6,5;71,6;35,2
2021.;I.;8,2;59,9;89,3;94,3;94,9;95,2;92,9;91,8;86,1;64,9;13,8;6,4;71,2;34,8
;II.;8,5;60,2;89,0;94,5;95,1;95,7;93,3;93,4;87,1;64,5;15,0;6,4;71,6;35,0
;III.;10,5;60,4;90,3;93,3;95,3;95,9;93,7;92,2;86,6;68,1;15,6;7,1;72,0;36,0
;IV.;8,3;59,8;91,4;94,4;95,0;95,9;94,3;92,1;86,1;69,7;15,9;7,5;72,1;34,5
2022.;I.;8,1;58,5;91,7;94,8;95,3;96,0;94,3;92,8;85,7;71,7;16,2;6,6;72,3;33,7
;II.;7,8;56,5;91,8;95,0;95,8;95,9;94,4;92,2;86,4;71,6;17,1;6,3;72,2;32,5
;III.;9,7;60,6;92,6;95,8;95,6;96,3;94,9;91,7;85,7;72,0;18,2;7,1;72,9;35,5
;IV.;;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;;
2009.;I.;3,1;39,0;78,9;81,4;81,8;83,0;79,8;73,2;41,9;10,5;3,2;0,9;51,0;21,6
;II.;2,7;40,0;77,8;81,4;82,7;83,5;80,0;73,7;43,2;9,9;3,6;0,9;51,1;21,9
;III.;3,1;42,8;78,6;81,1;84,1;83,0;80,6;74,7;43,7;9,3;3,3;0,9;51,6;23,6
