20.2.1.4. A 15–74 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;november–2013. január;2 046,0;264,9;2 311,0;1 363,3;3 674,3;435,6;62,9;11,5;55,7
;december–2013. február;2 015,7;278,1;2 293,9;1 379,7;3 673,6;464,3;62,4;12,1;54,9
2013.;január–március;2 013,8;282,4;2 296,2;1 376,4;3 672,6;467,3;62,5;12,3;54,8
;február–április;2 051,2;257,3;2 308,5;1 362,7;3 671,3;437,1;62,9;11,1;55,9
;március–május;2 083,0;246,0;2 329,0;1 341,1;3 670,0;411,1;63,5;10,6;56,8
;április–június;2 107,0;235,7;2 342,8;1 326,1;3 668,9;393,3;63,9;10,1;57,4
;május–július;2 126,0;238,6;2 364,6;1 303,2;3 667,9;387,9;64,5;10,1;58,0
;június–augusztus;2 139,4;231,2;2 370,6;1 296,4;3 667,0;379,4;64,6;9,8;58,3
;július–szeptember;2 144,6;228,6;2 373,2;1 292,8;3 666,0;371,9;64,7;9,6;58,5
;augusztus–október;2 142,8;228,7;2 371,5;1 293,7;3 665,1;370,1;64,7;9,6;58,5
;szeptember–november;2 154,0;215,2;2 369,2;1 295,0;3 664,2;353,2;64,7;9,1;58,8
;október–december;2 153,0;210,3;2 363,3;1 299,9;3 663,2;349,3;64,5;8,9;58,8
;november–2014. január;2 159,1;202,1;2 361,3;1 300,9;3 662,1;349,8;64,5;8,6;59,0
;december–2014. február;2 171,4;195,5;2 366,9;1 294,1;3 660,9;351,3;64,7;8,3;59,3
2014.;január–március;2 185,2;192,0;2 377,1;1 282,4;3 659,6;352,7;65,0;8,1;59,7
;február–április;2 203,2;187,5;2 390,7;1 267,4;3 658,1;337,1;65,4;7,8;60,2
;március–május;2 201,6;188,7;2 390,3;1 266,4;3 656,7;332,0;65,4;7,9;60,2
;április–június;2 207,8;191,5;2 399,3;1 256,0;3 655,3;328,0;65,6;8,0;60,4
;május–július;2 213,0;189,9;2 403,0;1 251,2;3 654,2;321,9;65,8;7,9;60,6
;június–augusztus;2 234,8;179,1;2 413,9;1 239,2;3 653,1;307,2;66,1;7,4;61,2
;július–szeptember;2 252,6;172,5;2 425,1;1 227,0;3 652,0;297,6;66,4;7,1;61,7
;augusztus–október;2 256,7;163,6;2 420,3;1 230,5;3 650,9;284,7;66,3;6,8;61,8
;szeptember–november;2 250,8;168,5;2 419,4;1 230,3;3 649,7;284,1;66,3;7,0;61,7
;október–december;2 238,1;171,0;2 409,0;1 239,4;3 648,4;289,7;66,0;7,1;61,3
;november–2015. január;2 224,3;177,0;2 401,3;1 245,7;3 647,0;304,2;65,8;7,4;61,0
;december–2015. február;2 222,9;187,7;2 410,5;1 235,0;3 645,5;314,1;66,1;7,8;61,0
2015.;január–március;2 220,9;186,3;2 407,2;1 236,8;3 644,0;309,7;66,1;7,7;60,9
