20.2.1.15. A foglalkoztatottak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
 15–24 éves";"Ebbõl:
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;;
;IV.;4,3;99,6;203,0;266,4;336,3;279,9;252,9;236,2;212,1;43,2;11,5;2,0;1 947,5;103,9;1 929,6
2014.;I.;6,8;103,1;208,6;266,1;340,3;287,4;259,9;236,7;215,2;43,7;10,1;2,0;1 980,0;109,9;1 961,1
;II.;7,0;108,1;211,0;256,2;335,8;289,1;265,9;237,2;217,3;48,7;10,0;2,3;1 988,6;115,1;1 969,2
;III.;8,5;109,7;214,7;252,3;332,1;296,9;277,2;242,6;217,9;52,2;10,4;3,1;2 017,6;118,2;1 995,6
;IV.;8,7;117,3;215,9;251,1;324,8;301,3;276,0;238,7;214,9;57,4;10,5;4,0;2 020,7;126,1;1 997,4
2015.;I.;5,8;115,8;214,2;251,8;323,7;305,0;275,9;236,4;212,5;59,2;10,9;3,7;2 014,9;121,6;1 994,5
;II.;5,9;120,4;215,5;248,0;323,2;313,0;281,2;240,9;217,6;63,7;12,7;3,8;2 046,0;126,3;2 023,5
;III.;6,8;126,0;216,3;248,4;324,9;317,5;285,1;243,7;214,2;72,6;12,2;3,3;2 071,1;132,8;2 048,8
;IV.;9,5;124,0;215,8;247,7;322,9;320,4;286,0;244,1;211,1;75,1;12,6;3,0;2 072,2;133,5;2 047,1
2016.;I.;7,2;125,5;221,4;247,0;317,1;326,9;282,7;240,7;213,0;78,7;13,0;3,1;2 076,3;132,7;2 053,0
;II.;8,8;117,7;223,3;249,7;322,1;336,4;293,8;244,0;217,6;88,7;12,2;3,0;2 117,3;126,4;2 093,3
;III.;11,7;126,7;224,4;247,5;319,6;338,4;297,6;245,2;219,2;89,3;12,7;4,5;2 136,8;138,4;2 108,0
;IV.;10,1;130,5;230,9;247,6;313,5;341,6;303,1;241,7;217,8;90,8;16,1;4,0;2 147,8;140,6;2 117,6
2017.;I.;9,5;128,2;226,6;245,3;304,0;340,2;307,6;241,4;210,5;86,5;14,3;6,0;2 120,0;137,7;2 090,2
;II.;10,0;124,5;227,1;242,0;299,8;348,6;305,3;244,7;212,9;88,1;15,1;5,3;2 123,4;134,5;2 093,0
;III.;11,0;118,5;228,4;246,0;302,4;353,7;309,0;244,4;212,6;92,3;13,5;6,1;2 138,0;129,5;2 107,3
;IV.;10,7;121,4;229,0;243,1;297,6;355,9;306,1;249,7;206,2;101,3;14,4;6,9;2 142,4;132,1;2 110,5
2018.;I.;10,9;112,6;229,0;241,9;294,4;355,5;305,0;255,5;214,5;99,6;16,4;8,0;2 143,4;123,5;2 108,0
;II.;8,5;120,6;230,3;243,0;291,0;364,2;309,3;263,9;208,7;101,3;13,4;9,6;2 163,8;129,1;2 132,3
;III.;13,4;123,1;228,0;243,1;289,1;361,9;308,9;265,4;208,5;102,7;17,9;7,5;2 169,4;136,5;2 130,6
;IV.;11,9;124,9;228,8;245,4;284,5;359,8;310,3;267,5;203,7;103,4;15,4;8,4;2 164,0;136,8;2 128,3
2019.;I.;10,6;114,5;233,2;246,4;281,0;362,9;310,0;267,2;201,9;102,1;20,7;7,8;2 158,2;125,1;2 119,1
;II.;9,3;111,0;236,9;247,7;280,0;360,8;313,9;270,3;206,5;100,6;25,1;8,6;2 170,7;120,3;2 127,8
;III.;9,5;115,2;238,0;246,4;275,4;357,9;322,1;263,7;206,7;100,7;22,2;8,9;2 166,8;124,8;2 126,1
;IV.;10,6;113,1;237,2;243,0;266,2;350,7;326,3;272,5;206,0;102,4;26,2;8,1;2 162,3;123,8;2 117,2
2020.;I.;9,8;117,1;233,7;235,2;262,7;343,8;320,9;277,1;210,9;101,4;29,3;7,2;2 149,2;126,9;2 102,8
;II.;6,9;106,5;225,1;233,4;263,7;335,2;320,5;279,2;201,8;106,9;33,5;10,9;2 123,4;113,4;2 072,2
;III.;11,7;112,5;231,5;234,3;257,5;339,6;326,5;286,1;208,1;105,6;26,4;9,7;2 149,6;124,2;2 101,8
;IV.;7,1;105,6;229,8;235,4;256,4;331,1;331,1;291,4;206,4;111,1;29,2;8,0;2 142,5;112,7;2 098,2
2021.;I.;6,6;101,8;222,4;226,9;249,8;327,8;327,3;291,0;208,7;107,0;33,5;8,6;2 111,5;108,4;2 062,7
;II.;6,7;103,5;224,1;236,3;251,8;331,8;341,2;294,3;217,1;107,7;31,7;9,2;2 155,5;110,2;2 107,9
;III.;10,4;107,9;222,8;242,6;253,2;330,1;345,8;295,5;222,8;107,5;36,1;9,8;2 184,3;118,3;2 128,2
;IV.;10,1;111,0;224,5;244,0;255,1;330,0;352,5;296,0;218,0;109,4;39,4;9,8;2 199,7;121,1;2 140,5
2022.;I.;8,9;109,2;222,8;247,8;250,4;321,7;357,1;297,2;222,1;107,5;35,7;12,1;2 192,4;118,1;2 135,7
;II.;8,0;106,2;222,0;249,5;252,4;318,9;360,1;304,1;226,7;105,9;35,0;12,7;2 201,6;114,3;2 145,8
;III.;11,8;112,3;215,3;249,1;255,1;317,6;360,5;303,3;229,9;107,1;35,0;11,9;2 209,0;124,1;2 150,2
;IV.;;;;;;;;;;;;;;;
