20.1.2.1. A 15–74 éves népesség gazdasági aktivitása, megye és régió szerint;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Budapest;fõváros, régió;863,5;26,5;889,9;425,5;1 315,4;46,5;67,7;3,0;65,6
Pest ;megye, régió;618,9;13,6;632,5;331,5;964,0;26,2;65,6;2,2;64,2
Közép-Magyarország;nagyrégió;1 482,4;40,1;1 522,4;757,0;2 279,5;72,8;66,8;2,6;65,0
Fejér;megye;205,6;5,2;210,8;110,3;321,1;9,3;65,7;2,5;64,0
Komárom-Esztergom;megye;148,3;2,7;151,0;78,0;228,9;7,4;65,9;1,8;64,8
Veszprém;megye;163,2;3,3;166,5;93,9;260,4;5,3;63,9;2,0;62,7
Közép-Dunántúl;régió;517,0;11,2;528,3;282,2;810,4;22,0;65,2;2,1;63,8
Gyõr-Moson-Sopron;megye;237,3;3,3;240,7;115,1;355,7;7,5;67,7;1,4;66,7
Vas;megye;129,3;3,2;132,4;64,8;197,2;5,9;67,2;2,4;65,6
Zala;megye;130,1;3,4;133,5;75,6;209,0;6,4;63,9;2,5;62,2
Nyugat-Dunántúl;régió;496,7;9,9;506,6;255,4;762,0;19,8;66,5;1,9;65,2
Baranya;megye;163,0;11,9;174,9;101,1;276,0;17,6;63,4;6,8;59,1
Somogy;megye;122,9;8,0;130,9;99,9;230,8;17,5;56,7;6,1;53,2
Tolna ;megye;96,1;2,1;98,2;69,3;167,5;6,0;58,6;2,2;57,4
Dél-Dunántúl;régió;381,9;22,1;404,0;270,3;674,3;41,1;59,9;5,5;56,6
Dunántúl;nagyrégió;1 395,7;43,2;1 438,8;807,8;2 246,6;82,9;64,0;3,0;62,1
Borsod-Abaúj-Zemplén;megye;275,4;14,7;290,1;194,8;484,9;34,8;59,8;5,1;56,8
Heves;megye;132,4;3,2;135,6;86,8;222,4;9,1;61,0;2,4;59,5
Nógrád ;megye;87,4;6,0;93,4;52,0;145,5;9,7;64,2;6,5;60,1
Észak-Magyarország;régió;495,1;24,0;519,2;333,6;852,8;53,7;60,9;4,6;58,1
Hajdú-Bihar;megye;240,6;13,9;254,6;146,7;401,2;23,7;63,4;5,5;60,0
Jász-Nagykun-Szolnok;megye;166,0;7,7;173,7;106,1;279,8;14,0;62,1;4,4;59,3
Szabolcs-Szatmár-Bereg;megye;250,3;23,7;274,0;152,7;426,7;36,1;64,2;8,7;58,7
Észak-Alföld;régió;656,9;45,3;702,2;405,5;1 107,7;73,9;63,4;6,5;59,3
Bács-Kiskun ;megye;237,7;6,6;244,3;140,8;385,0;12,0;63,4;2,7;61,7
Békés;megye;154,0;7,3;161,3;95,0;256,4;11,7;62,9;4,5;60,1
Csongrád-Csanád;megye;184,5;5,4;190,0;114,2;304,2;8,6;62,5;2,8;60,7
Dél-Alföld;régió;576,3;19,3;595,5;350,0;945,6;32,2;63,0;3,2;60,9
Alföld és Észak;nagyrégió;1 728,4;88,6;1 816,9;1 089,1;2 906,1;159,8;62,5;4,9;59,5
Ország összesen;ország;4 606,4;171,8;4 778,2;2 654,0;7 432,2;315,4;64,3;3,6;62,0
2019;;;;;;;;;;
Budapest;fõváros, régió;874,3;21,0;895,4;419,6;1 315,0;37,5;68,1;2,3;66,5
Pest ;megye, régió;636,7;15,0;651,7;323,1;974,8;28,8;66,9;2,3;65,3
Közép-Magyarország;nagyrégió;1 511,0;36,0;1 547,0;742,7;2 289,8;66,3;67,6;2,3;66,0
Fejér;megye;209,9;5,7;215,6;107,0;322,6;10,5;66,8;2,7;65,1
Komárom-Esztergom;megye;146,3;2,3;148,6;81,9;230,5;5,2;64,5;1,5;63,5
Veszprém;megye;164,0;2,1;166,0;94,3;260,3;4,9;63,8;1,2;63,0
Közép-Dunántúl;régió;520,2;10,1;530,2;283,2;813,4;20,7;65,2;1,9;63,9
Gyõr-Moson-Sopron;megye;241,4;2,7;244,1;116,0;360,1;6,4;67,8;1,1;67,0
Vas;megye;130,7;3,3;134,0;63,3;197,3;4,8;67,9;2,4;66,3
Zala;megye;131,0;2,8;133,8;73,5;207,4;5,2;64,5;2,1;63,2
Nyugat-Dunántúl;régió;503,1;8,8;511,9;252,8;764,7;16,4;66,9;1,7;65,8
Baranya;megye;159,9;11,0;170,9;101,9;272,8;17,9;62,6;6,4;58,6
Somogy;megye;124,2;4,6;128,8;100,0;228,9;14,1;56,3;3,6;54,3
Tolna ;megye;97,3;3,0;100,3;65,5;165,9;7,0;60,5;3,0;58,6
Dél-Dunántúl;régió;381,4;18,7;400,1;267,5;667,6;39,0;59,9;4,7;57,1
Dunántúl;nagyrégió;1 404,6;37,6;1 442,2;803,5;2 245,7;76,1;64,2;2,6;62,5
Borsod-Abaúj-Zemplén;megye;277,8;12,5;290,3;189,4;479,7;32,3;60,5;4,3;57,9
Heves;megye;134,3;3,6;137,8;83,7;221,5;9,3;62,2;2,6;60,6
Nógrád ;megye;83,3;6,1;89,4;54,8;144,2;11,2;62,0;6,8;57,8
Észak-Magyarország;régió;495,4;22,2;517,6;327,8;845,4;52,8;61,2;4,3;58,6
Hajdú-Bihar;megye;241,0;11,2;252,3;146,8;399,1;21,6;63,2;4,5;60,4
Jász-Nagykun-Szolnok;megye;168,0;10,1;178,1;100,5;278,5;17,7;63,9;5,7;60,3
Szabolcs-Szatmár-Bereg;megye;247,4;21,6;269,0;152,8;421,8;32,4;63,8;8,0;58,7
Észak-Alföld;régió;656,4;42,9;699,4;400,0;1 099,4;71,8;63,6;6,1;59,7
Bács-Kiskun ;megye;239,8;7,1;246,9;136,0;383,0;12,8;64,5;2,9;62,6
Békés;megye;151,9;9,0;160,8;92,1;252,9;12,4;63,6;5,6;60,0
Csongrád-Csanád;megye;185,4;4,1;189,5;113,4;302,9;6,7;62,6;2,2;61,2
Dél-Alföld;régió;577,1;20,2;597,3;341,5;938,8;31,9;63,6;3,4;61,5
Alföld és Észak;nagyrégió;1 728,9;85,3;1 814,2;1 069,3;2 883,6;156,5;62,9;4,7;60,0
Ország összesen;ország;4 644,6;158,9;4 803,5;2 615,6;7 419,0;298,9;64,7;3,3;62,6
2020;;;;;;;;;;
Budapest;fõváros, régió;878,4;29,2;907,7;399,3;1 307,0;50,9;69,4;3,2;67,2
Pest ;megye, régió;644,3;21,2;665,4;321,7;987,2;39,0;67,4;3,2;65,3
Közép-Magyarország;nagyrégió;1 522,7;50,4;1 573,1;721,0;2 294,1;89,9;68,6;3,2;66,4
Fejér;megye;208,7;5,3;214,0;109,5;323,4;13,3;66,2;2,5;64,5
Komárom-Esztergom;megye;145,7;4,4;150,1;82,1;232,2;9,5;64,7;2,9;62,8
Veszprém;megye;164,9;4,7;169,6;91,5;261,0;8,2;65,0;2,8;63,2
Közép-Dunántúl;régió;519,3;14,4;533,7;283,0;816,6;30,9;65,3;2,7;63,6
Gyõr-Moson-Sopron;megye;242,9;4,2;247,2;116,6;363,7;10,3;68,0;1,7;66,8
Vas;megye;128,3;2,6;130,9;66,4;197,2;6,0;66,4;2,0;65,0
Zala;megye;127,4;4,8;132,3;73,9;206,2;8,6;64,1;3,7;61,8
Nyugat-Dunántúl;régió;498,6;11,7;510,3;256,8;767,1;24,9;66,5;2,3;65,0
Baranya;megye;150,1;11,7;161,7;110,2;272,0;19,8;59,5;7,2;55,2
Somogy;megye;125,5;5,6;131,1;97,7;228,8;14,9;57,3;4,2;54,9
Tolna ;megye;98,0;2,9;100,9;63,2;164,1;6,6;61,5;2,9;59,7
Dél-Dunántúl;régió;373,6;20,1;393,7;271,1;664,9;41,3;59,2;5,1;56,2
Dunántúl;nagyrégió;1 391,5;46,2;1 437,7;810,9;2 248,6;97,1;63,9;3,2;61,9
Borsod-Abaúj-Zemplén;megye;271,5;13,8;285,3;190,0;475,2;36,6;60,0;4,8;57,1
Heves;megye;129,7;4,2;133,9;86,5;220,4;12,4;60,8;3,1;58,9
Nógrád ;megye;82,1;6,9;88,9;54,6;143,5;14,0;62,0;7,7;57,2
Észak-Magyarország;régió;483,2;24,9;508,1;331,0;839,2;62,9;60,6;4,9;57,6
Hajdú-Bihar;megye;242,0;13,2;255,2;143,0;398,3;29,6;64,1;5,2;60,8
Jász-Nagykun-Szolnok;megye;156,5;12,8;169,3;106,3;275,6;20,7;61,4;7,6;56,8
Szabolcs-Szatmár-Bereg;megye;242,1;23,3;265,4;154,0;419,4;34,9;63,3;8,8;57,7
Észak-Alföld;régió;640,7;49,3;690,0;403,4;1 093,3;85,2;63,1;7,1;58,6
Bács-Kiskun ;megye;233,4;11,6;245,0;136,0;381,0;19,1;64,3;4,7;61,3
Békés;megye;149,4;9,2;158,7;91,6;250,3;14,4;63,4;5,8;59,7
Csongrád-Csanád;megye;182,2;6,0;188,3;114,0;302,2;11,1;62,3;3,2;60,3
Dél-Alföld;régió;565,1;26,8;591,9;341,6;933,5;44,7;63,4;4,5;60,5
Alföld és Észak;nagyrégió;1 689,0;101,0;1 790,0;1 076,0;2 866,0;192,8;62,5;5,6;58,9
Ország összesen;ország;4 603,2;197,6;4 800,8;2 607,9;7 408,7;379,8;64,8;4,1;62,1
2021;;;;;;;;;;
Budapest;fõváros, régió;872,5;26,2;898,7;381,9;1 280,6;52,7;70,2;2,9;68,1
Pest ;megye, régió;658,4;20,0;678,5;316,9;995,4;32,6;68,2;3,0;66,1
Közép-Magyarország;nagyrégió;1 530,9;46,3;1 577,2;698,8;2 276,0;85,3;69,3;2,9;67,3
Fejér;megye;207,6;4,6;212,2;109,8;322,0;10,6;65,9;2,2;64,5
Komárom-Esztergom;megye;154,0;3,4;157,4;72,4;229,8;5,2;68,5;2,1;67,0
Veszprém;megye;164,7;3,3;168,0;90,9;258,9;7,0;64,9;2,0;63,6
Közép-Dunántúl;régió;526,2;11,3;537,5;273,2;810,7;22,7;66,3;2,1;64,9
Gyõr-Moson-Sopron;megye;248,2;3,6;251,8;115,5;367,3;8,5;68,6;1,4;67,6
Vas;megye;127,7;2,9;130,5;65,6;196,2;6,9;66,5;2,2;65,1
Zala;megye;126,4;5,0;131,4;73,3;204,7;9,0;64,2;3,8;61,8
Nyugat-Dunántúl;régió;502,3;11,4;513,7;254,5;768,2;24,5;66,9;2,2;65,4
Baranya;megye;155,1;9,1;164,2;105,6;269,8;14,9;60,9;5,5;57,5
Somogy;megye;125,3;7,2;132,5;95,6;228,1;15,1;58,1;5,4;54,9
Tolna ;megye;97,2;2,6;99,8;62,3;162,2;5,2;61,6;2,7;59,9
Dél-Dunántúl;régió;377,6;18,9;396,5;263,5;660,0;35,2;60,1;4,8;57,2
Dunántúl;nagyrégió;1 406,1;41,7;1 447,7;791,1;2 238,9;82,4;64,7;2,9;62,8
Borsod-Abaúj-Zemplén;megye;269,8;17,4;287,2;184,9;472,1;34,5;60,8;6,0;57,2
Heves;megye;129,1;4,8;133,9;84,9;218,8;12,6;61,2;3,6;59,0
Nógrád ;megye;79,9;9,5;89,3;53,2;142,5;15,0;62,7;10,6;56,1
Észak-Magyarország;régió;478,7;31,6;510,4;323,0;833,4;62,1;61,2;6,2;57,4
Hajdú-Bihar;megye;243,7;14,0;257,7;139,6;397,3;26,2;64,9;5,4;61,3
Jász-Nagykun-Szolnok;megye;158,5;10,6;169,0;103,9;273,0;18,2;61,9;6,2;58,1
Szabolcs-Szatmár-Bereg;megye;243,7;24,7;268,5;148,4;416,8;36,7;64,4;9,2;58,5
Észak-Alföld;régió;645,9;49,3;695,2;391,9;1 087,1;81,2;63,9;7,1;59,4
Bács-Kiskun ;megye;237,3;11,1;248,4;129,6;378,0;19,2;65,7;4,5;62,8
Békés;megye;147,2;10,1;157,4;90,0;247,3;15,6;63,6;6,4;59,5
Csongrád-Csanád;megye;188,4;5,6;194,0;104,4;298,4;10,5;65,0;2,9;63,1
Dél-Alföld;régió;572,9;26,8;599,8;324,0;923,8;45,3;64,9;4,5;62,0
Alföld és Észak;nagyrégió;1 697,5;107,8;1 805,3;1 038,9;2 844,2;188,6;63,5;6,0;59,7
Ország összesen;ország;4 634,6;195,7;4 830,2;2 528,9;7 359,1;356,3;65,6;4,1;63,0
