21.2.1.15. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;IV.;3 970 553;805 240;137 184;4 900 427;768 154;5 667 847;1 536 938;x;x;1 828 256;7 514 247;5 229 117;1 221 425;6 449 241;4 955 889;929 155;5 886 292;x;x;x;8 119 052
2012.;I.;3 939 817;798 044;137 619;4 869 866;757 266;5 618 642;1 536 623;x;x;1 896 363;7 524 658;5 172 932;1 175 473;6 347 992;4 960 357;908 365;5 851 363;x;x;x;7 976 214
;II.;3 901 423;795 230;136 690;4 824 325;761 345;5 585 512;1 480 767;x;x;1 665 657;7 277 909;5 125 975;1 167 763;6 297 167;4 766 650;889 687;5 658 845;x;x;x;7 926 011
;III.;3 876 592;795 302;136 989;4 803 458;767 478;5 575 091;1 493 488;x;x;1 752 954;7 334 944;5 105 199;1 171 115;6 268 660;4 760 188;910 664;5 694 317;x;x;x;7 950 585
;IV.;3 889 388;803 765;136 511;4 846 477;776 124;5 621 048;1 491 379;x;x;1 754 095;7 394 123;4 968 113;1 188 823;6 160 791;4 759 215;903 475;5 660 571;x;x;x;7 940 442
2013.;I.;3 884 650;800 196;138 176;4 824 677;792 029;5 631 535;1 514 504;x;x;1 703 806;7 406 886;5 060 685;1 230 410;6 289 785;4 808 502;948 427;5 740 953;x;x;x;7 956 212
;II.;3 883 646;803 018;140 564;4 828 134;802 413;5 642 947;1 606 503;x;x;1 855 268;7 503 178;5 191 542;1 254 100;6 449 177;4 937 508;1 005 705;5 942 215;x;x;x;8 035 467
;III.;3 895 882;800 714;140 349;4 827 511;815 232;5 638 421;1 690 195;x;x;1 861 510;7 464 500;5 370 556;1 271 988;6 634 315;4 971 954;958 816;5 952 369;x;x;x;8 158 254
;IV.;3 909 369;804 600;140 873;4 855 547;823 240;5 653 077;1 779 221;x;x;2 005 010;7 648 419;5 401 185;1 323 804;6 730 143;5 100 055;1 075 491;6 170 672;x;x;x;8 230 190
2014.;I.;3 937 324;806 522;138 296;4 880 234;859 125;5 744 357;1 832 412;x;x;2 019 941;7 734 482;5 586 343;1 384 052;6 969 467;5 324 688;1 068 381;6 378 664;x;x;x;8 295 679
;II.;3 980 041;808 342;137 835;4 934 568;881 120;5 820 989;1 842 045;x;x;2 147 416;7 978 620;5 605 610;1 439 969;7 047 976;5 545 813;1 105 853;6 652 839;x;x;x;8 405 514
;III.;4 004 679;812 283;138 460;4 950 563;884 517;5 820 224;1 875 904;x;x;2 116 549;7 923 185;5 771 533;1 461 142;7 228 980;5 564 692;1 078 248;6 664 394;x;x;x;8 484 353
;IV.;4 044 052;811 817;140 684;4 994 202;896 517;5 895 457;1 842 611;x;x;2 069 951;7 985 718;5 761 957;1 493 749;7 257 934;5 602 478;1 110 044;6 705 445;x;x;x;8 532 988
2015.;I.;4 076 784;823 288;144 915;5 050 367;883 759;5 930 852;1 799 142;x;x;1 990 689;7 911 986;5 954 071;1 516 599;7 470 098;5 569 119;1 130 767;6 686 509;x;x;x;8 674 753
;II.;4 114 050;826 868;147 236;5 088 631;878 960;5 950 143;1 961 715;x;x;2 127 739;8 080 530;5 968 815;1 537 872;7 504 150;5 778 358;1 163 229;6 940 946;x;x;x;8 684 295
;III.;4 158 292;836 081;148 510;5 139 381;897 676;6 041 759;1 916 221;x;x;2 056 250;8 091 965;6 104 881;1 610 167;7 716 185;5 860 179;1 179 214;7 058 352;x;x;x;8 750 116
;IV.;4 207 006;840 533;150 620;5 195 801;905 839;6 117 661;2 075 482;x;x;2 046 450;8 177 062;6 288 740;1 622 665;7 913 376;5 924 953;1 294 322;7 214 333;x;x;x;8 841 312
2016.;I.;4 269 149;840 525;148 190;5 265 202;907 528;6 182 290;1 664 920;x;x;1 916 645;8 118 065;5 985 739;1 710 048;7 685 362;5 817 640;1 214 383;7 020 945;x;x;x;8 793 299
;II.;4 311 499;842 682;150 831;5 308 517;901 889;6 214 642;1 660 185;x;x;1 960 381;8 167 864;6 283 691;1 765 502;8 041 634;6 040 250;1 268 480;7 307 298;x;x;x;8 911 811
;III.;4 358 780;836 747;152 540;5 338 767;891 368;6 227 656;1 777 722;x;x;1 992 021;8 196 692;6 261 354;1 781 528;8 060 080;6 029 691;1 228 673;7 275 270;x;x;x;8 959 141
;IV.;4 408 783;838 814;156 133;5 402 187;884 432;6 275 302;1 828 695;x;x;2 066 292;8 352 608;6 186 870;1 793 303;7 980 958;6 038 175;1 231 174;7 264 953;x;x;x;9 036 177
