21.2.1.21. Hozzájárulás a bruttó hazai termék (GDP) változásához (felhasználási oldal), elõzõ év azonos idõszakához viszonyított negyedéves indexekbõl számítva[százalékpont] ;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;IV.;2,6;0,3;0,0;2,8;2,3;5,1;1,2;1,9;0,0;3,1;8,2;0,5;1,4;1,9;3,2;2,5;5,7;-2,7;-1,1;-3,8;4,4
2020.;I.;2,9;0,0;0,1;3,0;-0,1;2,9;-0,8;2,5;-0,1;1,6;4,4;0,9;-0,7;0,2;2,2;0,3;2,5;-1,3;-1,1;-2,3;2,1
;II.;-3,0;-1,3;0,1;-4,3;1,2;-3,1;-3,1;0,5;-0,1;-2,7;-5,8;-12,8;-7,0;-19,8;-10,2;-2,5;-12,8;-2,6;-4,5;-7,1;-12,9
;III.;-0,8;-0,2;0,1;-0,9;0,0;-0,9;-4,2;0,4;0,0;-3,9;-4,7;1,9;-5,0;-3,2;-0,5;-3,2;-3,7;2,3;-1,8;0,5;-4,2
;IV.;-1,3;-0,6;0,1;-1,8;0,6;-1,2;0,4;-2,6;0,0;-2,3;-3,5;6,4;-3,9;2,5;4,0;-2,1;1,9;2,5;-1,8;0,7;-2,8
2021.;I.;-2,6;0,0;0,0;-2,6;1,6;-1,0;-0,7;-2,9;0,0;-3,5;-4,5;7,8;-3,1;4,7;3,5;-1,1;2,4;4,3;-2,0;2,3;-2,2
;II.;5,1;0,5;0,0;5,6;-0,3;5,4;2,8;3,7;0,0;6,6;11,9;21,7;3,9;25,6;18,8;1,0;19,8;2,9;3,0;5,8;17,8
;III.;3,2;-0,2;0,0;3,1;0,7;3,8;3,4;2,5;0,0;5,9;9,7;-0,1;2,3;2,2;3,9;1,8;5,7;-4,0;0,5;-3,5;6,2
;IV.;3,8;0,0;0,0;3,8;-0,5;3,3;0,1;3,6;0,0;3,7;7,0;-0,4;2,5;2,1;0,0;1,6;1,6;-0,4;0,9;0,5;7,4
2022.;I.;6,1;0,4;0,0;6,5;0,7;7,1;2,2;1,6;0,0;3,8;10,9;1,6;3,0;4,7;5,6;1,8;7,5;-4,0;1,2;-2,8;8,2
;II.;4,5;0,7;0,1;5,3;0,0;5,3;1,8;-1,2;0,0;0,6;5,9;3,1;3,2;6,3;2,9;2,7;5,7;0,1;0,5;0,6;6,5
;III.;1,8;0,5;0,1;2,4;-0,1;2,3;1,3;-2,1;0,0;-0,8;1,5;8,3;2,6;10,8;6,4;2,1;8,4;2,0;0,5;2,5;4,0
;IV.;;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;4,1;0,5;0,0;4,6;0,2;4,8;1,7;-0,7;0,0;1,1;5,9;4,5;2,9;7,4;5,0;2,2;7,2;-0,5;0,7;0,2;6,1
