;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
;III.;2 426 339;1 781 638;758 648;3 184 987;2 328 215;1 640 264;1 102 529;3 430 744;98 124;141 374;-343 881;-245 757;2 416 867;1 804 425;810 099;3 226 966;2 338 246;1 652 130;1 139 020;3 477 266;78 621;152 295;-328 921;-250 300;124,3;115,1;98,4;116,6;146,5;132,5;85,4;118,7
;IV.;2 602 631;1 927 296;722 233;3 324 864;2 428 125;1 721 905;1 109 283;3 537 408;174 506;205 391;-387 050;-212 544;2 629 233;1 953 430;787 685;3 416 918;2 468 001;1 734 342;1 160 681;3 628 682;161 232;219 088;-372 996;-211 764;123,5;113,9;91,6;114,3;146,8;131,6;77,5;114,1
2005.;I.;2 407 657;1 765 278;708 710;3 116 367;2 238 767;1 570 956;1 011 022;3 249 789;168 890;194 322;-302 312;-133 422;2 459 086;1 809 669;718 069;3 177 155;2 262 997;1 595 602;1 022 971;3 285 968;196 089;214 067;-304 902;-108 813;110,8;108,5;113,5;111,4;128,3;125,8;84,5;110,3
;II.;2 687 457;1 964 870;878 890;3 566 347;2 509 837;1 788 883;1 176 015;3 685 852;177 620;175 987;-297 125;-119 505;2 693 245;1 976 249;873 083;3 566 328;2 504 339;1 792 372;1 142 039;3 646 378;188 906;183 877;-268 956;-80 050;111,2;109,9;120,6;113,3;107,8;107,0;99,9;105,3
;III.;2 637 254;1 926 665;942 701;3 579 955;2 561 798;1 800 384;1 208 277;3 770 075;75 456;126 281;-265 576;-190 120;2 671 695;1 959 453;951 532;3 623 227;2 582 770;1 823 393;1 144 879;3 727 649;88 925;136 060;-193 347;-104 422;109,9;110,0;125,2;113,5;110,5;111,2;103,1;108,2
;IV.;2 873 359;2 112 363;989 259;3 862 618;2 686 777;1 895 814;1 361 544;4 048 321;186 582;216 549;-372 285;-185 703;2 856 538;2 107 218;969 276;3 825 814;2 655 883;1 881 142;1 254 323;3 910 206;200 655;226 076;-285 047;-84 392;108,0;109,3;131,2;113,2;107,6;109,2;110,9;108,7
2006.;I.;2 927 196;2 130 506;1 002 112;3 929 308;2 775 312;1 927 276;1 342 991;4 118 303;151 884;203 230;-340 879;-188 995;2 843 759;2 001 420;977 309;3 821 068;2 698 114;1 815 822;1 256 816;3 954 930;145 645;185 598;-279 507;-133 862;116,5;111,8;135,8;120,8;119,3;114,4;117,9;118,9
;II.;3 225 276;2 304 921;1 197 816;4 423 092;2 996 438;2 124 504;1 461 721;4 458 159;228 838;180 417;-263 905;-35 067;3 002 004;2 165 366;1 130 290;4 132 294;2 790 748;2 001 694;1 314 460;4 105 208;211 256;163 672;-184 170;27 086;112,3;110,7;129,2;116,4;111,5;112,3;110,4;111,2
;III.;3 350 661;2 397 171;1 331 754;4 682 415;3 154 408;2 188 854;1 620 029;4 774 437;196 253;208 317;-288 275;-92 022;3 039 427;2 252 231;1 220 372;4 259 799;2 849 958;2 062 286;1 406 495;4 256 453;189 469;189 945;-186 123;3 346;114,6;116,2;128,0;118,1;110,4;113,7;117,9;112,8
;IV.;3 513 824;2 459 742;1 413 547;4 927 371;3 324 946;2 254 691;1 638 731;4 963 677;188 878;205 051;-225 184;-36 306;3 329 134;2 310 835;1 340 033;4 669 167;3 138 849;2 124 313;1 528 598;4 667 447;190 285;186 522;-188 565;1 720;117,4;110,8;138,0;122,6;118,3;113,5;116,9;117,9
