20.1.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Budapest;fõváros, régió;850,3;26,5;876,7;246,2;1 123,0;43,6;78,1;3,0;75,7
Pest ;megye, régió;612,9;13,6;626,5;208,3;834,8;25,7;75,0;2,2;73,4
Közép-Magyarország;nagyrégió;1 463,2;40,0;1 503,2;454,5;1 957,7;69,3;76,8;2,7;74,7
Fejér;megye;202,5;5,2;207,8;68,4;276,2;8,9;75,2;2,5;73,3
Komárom-Esztergom;megye;146,8;2,7;149,5;47,9;197,3;7,3;75,7;1,8;74,4
Veszprém;megye;161,4;3,3;164,7;57,1;221,8;5,2;74,3;2,0;72,8
Közép-Dunántúl;régió;510,7;11,2;522,0;173,4;695,3;21,5;75,1;2,2;73,5
Gyõr-Moson-Sopron;megye;234,3;3,3;237,6;70,2;307,8;7,5;77,2;1,4;76,1
Vas;megye;127,5;3,2;130,7;37,7;168,3;5,9;77,6;2,4;75,8
Zala;megye;129,3;3,4;132,6;43,4;176,0;6,0;75,4;2,5;73,4
Nyugat-Dunántúl;régió;491,1;9,9;500,9;151,3;652,2;19,4;76,8;2,0;75,3
Baranya;megye;160,7;11,9;172,6;63,0;235,5;17,2;73,3;6,9;68,2
Somogy;megye;120,6;7,9;128,5;65,6;194,1;17,4;66,2;6,2;62,1
Tolna ;megye;95,4;2,1;97,6;44,5;142,0;6,0;68,7;2,2;67,2
Dél-Dunántúl;régió;376,7;21,9;398,7;173,0;571,7;40,6;69,7;5,5;65,9
Dunántúl;nagyrégió;1 378,5;43,0;1 421,6;497,6;1 919,2;81,4;74,1;3,0;71,8
Borsod-Abaúj-Zemplén;megye;272,8;14,7;287,5;130,9;418,4;34,4;68,7;5,1;65,2
Heves;megye;129,9;3,2;133,2;55,0;188,2;9,1;70,8;2,4;69,0
Nógrád ;megye;85,6;6,0;91,7;31,5;123,2;9,7;74,4;6,6;69,5
Észak-Magyarország;régió;488,3;24,0;512,3;217,5;729,8;53,2;70,2;4,7;66,9
Hajdú-Bihar;megye;238,1;13,9;251,9;95,8;347,7;23,4;72,5;5,5;68,5
Jász-Nagykun-Szolnok;megye;163,5;7,7;171,2;67,8;238,9;13,7;71,6;4,5;68,4
Szabolcs-Szatmár-Bereg;megye;247,8;23,6;271,5;102,0;373,4;35,7;72,7;8,7;66,4
Észak-Alföld;régió;649,4;45,2;694,6;265,5;960,1;72,9;72,3;6,5;67,6
Bács-Kiskun ;megye;235,8;6,5;242,3;86,0;328,3;11,8;73,8;2,7;71,8
Békés;megye;151,1;7,3;158,4;57,7;216,1;11,4;73,3;4,6;69,9
Csongrád-Csanád;megye;181,2;5,4;186,6;71,6;258,2;8,6;72,3;2,9;70,2
Dél-Alföld;régió;568,1;19,2;587,3;215,3;802,7;31,7;73,2;3,3;70,8
Alföld és Észak;nagyrégió;1 705,8;88,4;1 794,2;698,3;2 492,5;157,8;72,0;4,9;68,4
Ország összesen;ország;4 547,6;171,5;4 719,0;1 650,4;6 369,5;308,5;74,1;3,6;71,4
2019;;;;;;;;;;
Budapest;fõváros, régió;854,4;20,9;875,4;243,7;1 119,1;35,3;78,2;2,4;76,4
Pest ;megye, régió;627,5;14,6;642,1;199,1;841,2;27,2;76,3;2,3;74,6
Közép-Magyarország;nagyrégió;1 481,9;35,6;1 517,5;442,8;1 960,3;62,6;77,4;2,3;75,6
Fejér;megye;206,1;5,6;211,6;64,2;275,9;10,3;76,7;2,6;74,7
Komárom-Esztergom;megye;145,1;2,3;147,4;50,7;198,0;5,2;74,4;1,5;73,3
Veszprém;megye;161,8;2,0;163,7;56,7;220,4;4,8;74,3;1,2;73,4
Közép-Dunántúl;régió;512,9;9,8;522,7;171,6;694,4;20,3;75,3;1,9;73,9
Gyõr-Moson-Sopron;megye;238,9;2,6;241,5;69,3;310,8;6,2;77,7;1,1;76,9
Vas;megye;128,2;3,3;131,5;36,0;167,5;4,8;78,5;2,5;76,5
Zala;megye;129,0;2,8;131,8;41,5;173,4;4,9;76,0;2,1;74,4
Nyugat-Dunántúl;régió;496,1;8,7;504,8;146,8;651,7;15,9;77,5;1,7;76,1
Baranya;megye;156,8;11,0;167,8;63,4;231,2;17,5;72,6;6,5;67,8
Somogy;megye;122,6;4,6;127,2;63,8;191,0;14,1;66,6;3,6;64,2
Tolna ;megye;96,0;3,0;99,0;40,4;139,4;7,0;71,0;3,1;68,9
Dél-Dunántúl;régió;375,4;18,6;394,0;167,6;561,6;38,6;70,2;4,7;66,8
Dunántúl;nagyrégió;1 384,5;37,1;1 421,6;486,0;1 907,7;74,8;74,5;2,6;72,6
Borsod-Abaúj-Zemplén;megye;274,9;12,5;287,4;124,0;411,5;32,1;69,9;4,4;66,8
Heves;megye;132,0;3,6;135,5;51,0;186,5;9,1;72,7;2,6;70,7
Nógrád ;megye;82,3;6,1;88,4;33,0;121,4;10,9;72,8;6,9;67,8
Észak-Magyarország;régió;489,2;22,2;511,4;208,0;719,4;52,1;71,1;4,3;68,0
Hajdú-Bihar;megye;236,2;11,2;247,5;96,6;344,1;21,6;71,9;4,5;68,6
Jász-Nagykun-Szolnok;megye;165,6;10,1;175,6;60,9;236,5;17,6;74,3;5,7;70,0
Szabolcs-Szatmár-Bereg;megye;243,6;21,6;265,2;101,2;366,4;31,9;72,4;8,1;66,5
Észak-Alföld;régió;645,4;42,9;688,3;258,7;947,0;71,1;72,7;6,2;68,2
Bács-Kiskun ;megye;236,3;7,1;243,4;81,6;325,0;12,7;74,9;2,9;72,7
Békés;megye;148,7;8,8;157,6;54,2;211,8;12,1;74,4;5,6;70,2
Csongrád-Csanád;megye;182,5;4,1;186,6;69,4;256,0;6,7;72,9;2,2;71,3
Dél-Alföld;régió;567,5;20,1;587,5;205,2;792,8;31,5;74,1;3,4;71,6
Alföld és Észak;nagyrégió;1 702,1;85,1;1 787,2;671,9;2 459,2;154,7;72,7;4,8;69,2
Ország összesen;ország;4 568,5;157,9;4 726,3;1 600,8;6 327,1;292,1;74,7;3,3;72,2
2020;;;;;;;;;;
Budapest;fõváros, régió;855,5;28,6;884,1;225,5;1 109,6;49,2;79,7;3,2;77,1
Pest ;megye, régió;634,2;21,2;655,4;194,0;849,4;38,0;77,2;3,2;74,7
Közép-Magyarország;nagyrégió;1 489,7;49,8;1 539,5;419,5;1 959,0;87,2;78,6;3,2;76,0
Fejér;megye;204,8;5,3;210,1;64,5;274,6;12,7;76,5;2,5;74,6
Komárom-Esztergom;megye;144,7;4,3;148,9;49,6;198,5;9,1;75,0;2,9;72,9
Veszprém;megye;162,6;4,5;167,1;52,1;219,2;7,9;76,2;2,7;74,2
Közép-Dunántúl;régió;512,1;14,0;526,1;166,2;692,3;29,7;76,0;2,7;74,0
Gyõr-Moson-Sopron;megye;239,9;4,2;244,1;68,4;312,6;9,9;78,1;1,7;76,7
Vas;megye;126,8;2,6;129,4;36,9;166,2;6,0;77,8;2,0;76,3
Zala;megye;125,0;4,8;129,8;40,6;170,5;8,4;76,2;3,7;73,3
Nyugat-Dunántúl;régió;491,7;11,6;503,3;146,0;649,3;24,4;77,5;2,3;75,7
Baranya;megye;147,4;11,7;159,1;69,5;228,5;18,8;69,6;7,4;64,5
Somogy;megye;122,7;5,5;128,3;60,5;188,8;14,9;67,9;4,3;65,0
Tolna ;megye;96,0;2,9;98,9;37,7;136,6;6,5;72,4;2,9;70,3
Dél-Dunántúl;régió;366,1;20,1;386,2;167,7;553,9;40,2;69,7;5,2;66,1
Dunántúl;nagyrégió;1 369,8;45,8;1 415,6;479,8;1 895,4;94,2;74,7;3,2;72,3
Borsod-Abaúj-Zemplén;megye;267,5;13,8;281,3;123,5;404,8;36,3;69,5;4,9;66,1
Heves;megye;127,3;4,2;131,5;52,8;184,2;12,4;71,4;3,2;69,1
Nógrád ;megye;81,4;6,8;88,2;31,8;120,0;13,7;73,5;7,7;67,8
Észak-Magyarország;régió;476,2;24,8;501,0;208,0;709,0;62,4;70,7;5,0;67,2
Hajdú-Bihar;megye;235,6;13,1;248,6;92,4;341,0;29,0;72,9;5,2;69,1
Jász-Nagykun-Szolnok;megye;154,1;12,8;167,0;65,0;232,0;20,7;72,0;7,7;66,4
Szabolcs-Szatmár-Bereg;megye;239,0;23,2;262,2;99,2;361,4;34,4;72,5;8,8;66,1
Észak-Alföld;régió;628,7;49,1;677,8;256,7;934,4;84,1;72,5;7,2;67,3
Bács-Kiskun ;megye;228,5;11,5;240,1;81,2;321,2;18,7;74,7;4,8;71,1
Békés;megye;146,4;9,1;155,5;52,0;207,5;13,8;74,9;5,8;70,6
Csongrád-Csanád;megye;179,2;6,0;185,3;68,5;253,8;11,1;73,0;3,3;70,6
Dél-Alföld;régió;554,2;26,6;580,8;201,7;782,5;43,7;74,2;4,6;70,8
Alföld és Észak;nagyrégió;1 659,1;100,5;1 759,6;666,3;2 425,9;190,1;72,5;5,7;68,4
Ország összesen;ország;4 518,6;196,1;4 714,7;1 565,6;6 280,3;371,4;75,1;4,2;71,9
2021;;;;;;;;;;
Budapest;fõváros, régió;847,9;25,2;873,1;213,5;1 086,6;49,6;80,4;2,9;78,0
Pest ;megye, régió;647,9;19,8;667,7;187,8;855,5;31,2;78,0;3,0;75,7
Közép-Magyarország;nagyrégió;1 495,9;45,0;1 540,8;401,3;1 942,1;80,8;79,3;2,9;77,0
Fejér;megye;202,7;4,6;207,2;64,2;271,4;10,4;76,3;2,2;74,7
Komárom-Esztergom;megye;152,4;3,3;155,6;39,5;195,2;5,0;79,7;2,1;78,1
Veszprém;megye;161,3;3,3;164,6;50,8;215,4;6,9;76,4;2,0;74,9
Közép-Dunántúl;régió;516,4;11,1;527,4;154,5;682,0;22,2;77,3;2,1;75,7
Gyõr-Moson-Sopron;megye;243,6;3,6;247,2;67,0;314,3;8,2;78,7;1,5;77,5
Vas;megye;126,0;2,8;128,8;35,4;164,2;6,8;78,4;2,2;76,7
Zala;megye;124,0;5,0;129,0;38,4;167,4;8,8;77,1;3,8;74,1
Nyugat-Dunántúl;régió;493,6;11,3;505,0;140,9;645,9;23,8;78,2;2,2;76,4
Baranya;megye;151,4;9,1;160,4;64,3;224,8;14,6;71,4;5,6;67,4
Somogy;megye;121,5;7,2;128,7;57,8;186,6;14,7;69,0;5,6;65,1
Tolna ;megye;95,1;2,6;97,7;36,1;133,8;5,0;73,0;2,6;71,1
Dél-Dunántúl;régió;368,0;18,8;386,8;158,3;545,1;34,4;71,0;4,9;67,5
Dunántúl;nagyrégió;1 378,0;41,3;1 419,3;453,7;1 872,9;80,4;75,8;2,9;73,6
Borsod-Abaúj-Zemplén;megye;266,1;17,2;283,2;116,4;399,6;34,2;70,9;6,1;66,6
Heves;megye;126,6;4,8;131,4;50,4;181,8;12,4;72,3;3,7;69,6
Nógrád ;megye;78,2;9,5;87,7;30,8;118,5;14,8;74,0;10,8;66,0
Észak-Magyarország;régió;470,9;31,4;502,3;197,6;699,9;61,4;71,8;6,3;67,3
Hajdú-Bihar;megye;238,1;14,0;252,2;86,0;338,2;25,8;74,6;5,6;70,4
Jász-Nagykun-Szolnok;megye;155,6;10,1;165,7;62,1;227,8;17,6;72,7;6,1;68,3
Szabolcs-Szatmár-Bereg;megye;238,9;24,6;263,4;93,4;356,9;36,3;73,8;9,3;66,9
Észak-Alföld;régió;632,6;48,7;681,3;241,6;922,9;79,8;73,8;7,2;68,5
Bács-Kiskun ;megye;230,8;11,0;241,7;75,0;316,8;18,8;76,3;4,5;72,8
Békés;megye;144,2;9,8;154,1;49,2;203,2;15,0;75,8;6,4;71,0
Csongrád-Csanád;megye;183,1;5,4;188,5;60,4;248,9;10,4;75,7;2,9;73,5
Dél-Alföld;régió;558,0;26,2;584,3;184,6;768,9;44,2;76,0;4,5;72,6
Alföld és Észak;nagyrégió;1 661,5;106,4;1 767,9;623,8;2 391,7;185,4;73,9;6,0;69,5
Ország összesen;ország;4 535,4;192,6;4 728,0;1 478,8;6 206,7;346,6;76,2;4,1;73,1
