14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Nagyértékû riasztóberendezés;3;7;8;4;2;6;3;4;6;5;4;3;4;2;3;2
Motorkerékpár;2;11;11;12;15;11;2;8;5;14;6;2;5;1;4;1
Személygépkocsi;39;90;106;76;97;88;25;76;61;100;52;25;38;17;33;17
Ebbõl:;;;;;;;;;;;;;;;;
saját;39;85;95;72;93;82;24;72;61;95;50;24;36;16;31;17
2017;;;;;;;;;;;;;;;;
Hûtõszekrény;32;34;31;48;41;36;43;37;44;44;42;43;46;41;40;47
Fagyasztógép;20;39;48;51;58;44;28;46;62;65;43;28;23;31;22;34
Hûtõ- és fagyasztógép;73;74;77;63;76;74;57;67;67;70;63;57;51;60;59;54
Mikrohullámú sütõ;89;94;94;88;97;93;81;91;93;96;87;81;78;84;81;82
Mosogatógép;12;29;43;43;32;32;8;23;17;22;15;8;8;8;10;6
Mosógép;96;96;99;99;100;98;92;96;99;100;95;92;90;94;92;93
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;86;84;93;81;87;87;78;89;88;92;84;78;77;79;80;77
Mosógép szárítóval;3;6;4;4;3;5;2;2;2;3;2;2;2;2;3;2
Szárítógép;1;5;11;10;6;7;1;3;1;3;2;1;1;1;1;0
Televízió, színes;150;171;181;176;223;181;115;153;164;211;145;115;111;117;111;118
Ebbõl:;;;;;;;;;;;;;;;;
