4.1.1.34. Vélt egészség nem és korcsoport szerint ;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Vélt egészség: nagyon jó vagy jó, 16–24 éves;Vélt egészség: kielégítõ, 16–24 éves;Vélt egészség: rossz vagy nagyon rossz, 16–24 éves;Vélt egészség: nagyon jó vagy jó, 25–34 éves;Vélt egészség: kielégítõ, 25–34 éves;Vélt egészség: rossz vagy nagyon rossz, 25–34 éves;Vélt egészség: nagyon jó vagy jó, 35–44 éves;Vélt egészség: kielégítõ, 35–44 éves;Vélt egészség: rossz vagy nagyon rossz, 35–44 éves;Vélt egészség: nagyon jó vagy jó, 45–54 éves;Vélt egészség: kielégítõ, 45–54 éves;Vélt egészség: rossz vagy nagyon rossz, 45–54 éves;Vélt egészség: nagyon jó vagy jó, 55–64 éves;Vélt egészség: kielégítõ, 55–64 éves;Vélt egészség: rossz vagy nagyon rossz, 55–64 éves;Vélt egészség: nagyon jó vagy jó, 65–74 éves;Vélt egészség: kielégítõ, 65–74 éves;Vélt egészség: rossz vagy nagyon rossz, 65–74 éves;Vélt egészség: nagyon jó vagy jó, 75– éves;Vélt egészség: kielégítõ, 75– éves;Vélt egészség: rossz vagy nagyon rossz, 75– éves;Vélt egészség: nagyon jó vagy jó, együtt;Vélt egészség: kielégítõ, együtt;Vélt egészség: rossz vagy nagyon rossz, együtt;Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
2019;94,3;4,8;0,9;89,3;8,9;1,7;78,3;18,7;3,0;66,2;26,3;7,5;41,1;42,1;16,7;27,4;50,4;22,2;16,2;47,3;36,5;62,2;27,3;10,6;100,0
2020;94,8;4,0;1,1;90,7;7,0;2,3;84,0;13,8;2,2;68,7;23,7;7,6;47,1;39,0;13,9;29,3;53,1;17,6;18,5;53,0;28,6;65,7;25,4;8,9;100,0
2021;94,8;4,8;0,5;91,4;7,1;1,5;85,3;12,9;1,8;70,7;24,1;5,2;51,0;37,6;11,4;36,1;49,6;14,2;22,2;52,6;25,1;68,0;24,9;7,1;100,0
Nõk megoszlása, %;;;;;;;;;;;;;;;;;;;;;;;;;
2010;92,7;6,1;1,2;85,4;11,9;2,7;70,5;22,8;6,7;50,0;33,5;16,4;29,3;47,3;23,5;13,7;49,4;36,9;6,0;37,0;57,1;51,6;29,8;18,5;100,0
2011;93,5;4,8;1,7;87,3;10,3;2,3;74,3;19,5;6,2;51,2;32,5;16,2;30,3;46,2;23,5;13,9;49,0;37,1;5,7;39,0;55,3;52,1;29,1;18,8;100,0
2012;94,4;4,0;1,6;88,1;9,8;2,1;76,9;17,3;5,8;53,3;31,8;14,9;32,1;43,8;24,1;14,8;49,8;35,5;6,0;38,0;56,0;53,2;28,2;18,5;100,0
2013;92,4;6,2;1,4;87,1;10,8;2,0;74,8;20,1;5,1;55,2;31,3;13,4;33,5;43,8;22,7;14,1;50,5;35,3;6,8;40,2;52,9;52,5;29,7;17,9;100,0
2014;93,4;5,1;1,5;88,0;9,6;2,4;79,3;16,0;4,7;55,3;31,1;13,7;33,9;43,3;22,8;15,9;48,2;35,9;6,1;39,1;54,8;53,4;28,3;18,3;100,0
2015;93,2;5,3;1,5;89,1;9,7;1,2;75,8;18,7;5,6;57,0;31,3;11,7;35,3;43,5;21,2;17,0;51,2;31,9;8,2;33,7;58,2;53,6;28,8;17,6;100,0
2016;93,2;5,4;1,5;87,5;10,0;2,5;80,0;16,2;3,8;64,2;26,2;9,6;38,0;42,7;19,2;21,8;51,2;27,0;8,7;41,7;49,6;56,4;28,4;15,2;100,0
2017;93,1;5,4;1,5;86,0;12,1;1,9;76,1;19,4;4,5;64,3;26,3;9,4;38,6;42,2;19,2;21,5;53,5;25,0;8,5;43,0;48,5;55,5;29,7;14,8;100,0
2018;94,1;4,7;1,2;90,9;7,8;1,3;77,9;18,8;3,3;67,5;25,6;6,9;42,5;41,2;16,4;24,3;52,3;23,4;10,6;45,3;44,2;57,6;29,1;13,2;100,0
2019;94,7;4,5;0,8;86,4;12,7;1,0;74,3;22,0;3,7;62,4;29,4;8,2;42,3;42,2;15,5;22,9;56,0;21,1;8,6;49,9;41,5;55,0;32,2;12,8;100,0
2020;92,0;6,1;1,9;90,2;8,0;1,7;79,0;17,5;3,5;67,3;26,0;6,7;49,5;39,6;10,9;28,2;53,2;18,6;11,7;53,2;35,1;58,9;30,3;10,8;100,0
2021;92,6;6,8;0,6;91,2;7,0;1,8;84,2;14,3;1,5;69,7;25,4;4,9;50,5;39,7;9,8;33,1;50,5;16,4;17,5;51,5;31,0;61,9;29,0;9,1;100,0
A népesség megoszlása, %;;;;;;;;;;;;;;;;;;;;;;;;;
2010;93,0;5,5;1,4;86,6;10,7;2,7;72,4;21,2;6,5;50,2;34,4;15,4;30,0;45,9;24,1;14,6;49,5;35,8;6,6;39,5;53,9;55,1;28,3;16,5;100,0
2011;93,6;4,7;1,7;87,7;10,2;2,1;75,9;18,5;5,5;51,8;32,4;15,8;31,5;45,4;23,1;16,2;50,0;33,8;6,6;40,9;52,6;55,7;27,9;16,3;100,0
2012;94,0;4,5;1,5;89,8;8,2;2,0;78,0;16,1;5,9;55,5;30,0;14,4;33,8;42,6;23,7;16,2;50,0;33,8;7,5;41,3;51,2;57,2;26,5;16,3;100,0
2013;92,9;5,3;1,9;88,4;9,5;2,1;76,5;18,8;4,7;55,9;30,7;13,4;34,3;43,0;22,8;15,6;50,7;33,7;8,5;42,6;49,0;56,2;28,0;15,9;100,0
2014;93,9;4,4;1,7;89,7;8,1;2,2;79,4;16,2;4,4;55,6;31,3;13,1;34,8;42,8;22,4;17,3;50,0;32,7;7,2;42,7;50,1;56,8;27,4;15,8;100,0
2015;93,4;4,9;1,7;89,0;9,6;1,5;77,4;17,3;5,3;56,0;32,0;12,0;34,0;44,0;22,0;18,9;50,3;30,8;9,7;36,3;54,0;56,4;27,8;15,7;100,0
2016;93,2;5,4;1,4;88,1;9,9;2,0;80,5;15,7;3,8;64,1;27,3;8,7;38,8;42,0;19,2;24,3;50,3;25,4;10,4;43,2;46,4;59,6;27,1;13,2;100,0
2017;93,1;5,5;1,5;88,5;9,6;2,0;77,3;18,0;4,6;65,9;25,5;8,6;39,6;42,2;18,2;23,1;53,2;23,7;10,0;44,9;45,1;59,3;27,8;12,9;100,0
2018;95,0;3,8;1,2;91,0;7,4;1,6;78,4;17,8;3,8;67,7;25,3;7,0;43,6;40,1;16,3;26,4;51,9;21,7;11,8;47,1;41,1;60,7;27,5;11,8;100,0
2019;94,5;4,7;0,8;87,9;10,7;1,4;76,3;20,3;3,4;64,2;28,0;7,9;41,7;42,2;16,1;24,7;53,7;21,5;11,2;49,0;39,8;58,4;29,9;11,8;100,0
2020;93,4;5,1;1,5;90,5;7,5;2,0;81,5;15,6;2,9;67,9;25,0;7,1;48,3;39,3;12,3;28,6;53,2;18,2;14,1;53,1;32,8;62,1;28,0;9,9;100,0
2021;93,7;5,8;0,5;91,3;7,1;1,6;84,7;13,6;1,7;70,2;24,8;5,0;50,7;38,7;10,6;34,4;50,1;15,5;19,1;51,9;29,0;64,8;27,1;8,1;100,0
